"","DLF005-IE","DLM006-IE","DOM005-IE","DOM017-IE","MH0192","MH0221","MH0222","MH0234","MH0238","MH0245","MH0246","MH0252","MH0259","MH0260","MH0261","MH0262","MH0264","MH0265","MH0266","MH0268","MH0270","MH0271","MH0280","MH0281","MH0283","MH0284","MH0290","MH0293","MH0297","MH0298","MH0299","MH0301","MH0303","MH0308","MH0309","MH0310","MH0311","MH0314","MH0315","MH0319","MH0323","MH0325","MH0326","MH0327","MH0328","MH0329","MH0330","MH0332","MH0334","MH0335","MH0336","MH0337","MH0338","MH0339","MH0340","MH0341","MH0342","MH0343","MH0345","MH0346","MH0347","MH0348","MH0349","MH0350","MH0351","MH0354","MH0355","MH0356","MH0357","MH0358","MH0359","MH0360","MH0361","MH0362","MH0363","MH0364","MH0365","MH0366","MH0367","MH0368","MH0369","MH0370","MH0371","MH0372","MH0373","MH0374","MH0375","MH0376","MH0377","MH0378","MH0379","MH0381","MH0382","MH0383","MH0384","MH0385","MH0386","MH0387","MH0388","MH0389","MH0390","MH0391","MH0392","MH0393","MH0394","MH0395","MH0396","MH0397","MH0398","MH0399","MH0400","MH0401","MH0402","NLF002-IE","NLF009-IE","NLM009-IE","NLM025-IE","NOF002-IE","NOF007-IE","NOF013-IE","O2.CD1-0-PT","O2.CD1-0","O2.CD2-0-PT","O2.CD2-0","O2.CD3-0-PT","O2.UC1-1","O2.UC11-1","O2.UC12-1","O2.UC13-1","O2.UC14-1","O2.UC15-0","O2.UC15-1","O2.UC15-2","O2.UC16-1","O2.UC17-1","O2.UC18-1","O2.UC19-1","O2.UC2-1","O2.UC20-1","O2.UC21-1","O2.UC22-1","O2.UC23-1","O2.UC24-1","O2.UC26-1","O2.UC27-1","O2.UC28-0","O2.UC28-1","O2.UC28-2","O2.UC29-1","O2.UC3-1","O2.UC30-1","O2.UC31-1","O2.UC32-1","O2.UC35-1","O2.UC36-0","O2.UC36-1","O2.UC37-1","O2.UC38-1","O2.UC4-1","O2.UC40-1","O2.UC41-1","O2.UC43-1","O2.UC44-1","O2.UC46-1","O2.UC47-1","O2.UC48-1","O2.UC5-1","O2.UC6-0","O2.UC6-1","O2.UC6-2","O2.UC7-0","O2.UC7-1","O2.UC8-0","O2.UC8-1","O2.UC8-2","O2.UC9-1","V1.CD1-0-PN","V1.CD1-0-PT","V1.CD1-3-PN","V1.CD12-3","V1.CD2-0-PN","V1.CD2-0-PT","V1.CD20-0","V1.CD3-0-PN","V1.CD3-0-PT","V1.CD3-3-PN","V1.CD32-0","V1.CD32-4","V1.CD37-4","V1.CD4-0-PN","V1.CD4-0-PT","V1.CD40-0","V1.CD43-0","V1.CD44-0","V1.CD44-4","V1.CD45-0","V1.CD46-0","V1.CD48-0","V1.CD49-0","V1.CD5-0-PN","V1.CD50-0","V1.CD51-0","V1.CD52-0","V1.CD53-0","V1.CD54-0","V1.CD55-0","V1.CD6-0-PN","V1.CD6-0-PT","V1.CD7-0-PN","V1.CD8-0-PN","V1.FI01","V1.FI02","V1.FI03","V1.FI04","V1.FI05","V1.FI06","V1.FI07","V1.FI08","V1.FI09","V1.FI10","V1.FI11","V1.FI12","V1.FI13","V1.FI14","V1.FI15","V1.FI16","V1.FI17","V1.FI18","V1.FI19","V1.FI20","V1.FI21","V1.FI22","V1.FI23","V1.FI24","V1.FI25","V1.FI26","V1.FI27","V1.FI28","V1.FI29","V1.FI30","V1.FI31","V1.FI32","V1.FI33","V1.FI34","V1.FI35","V1.FI36","V1.FI37","V1.UC22-1","V1.UC38-4","V1.UC39-4","V1.UC40-1","V1.UC47-4","V1.UC54-4","V1.UC56-1","V1.UC58-4","V1.UC59-0","V1.UC59-4","V1.UC60-0","V1.UC63-0","V1.UC64-0","FeatureID"
"Bacteroides faecis",0,0,0,0,0,0,0,0,0,837543,1683533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136001,0,0,0,0,0,0,145151,782958,0,0,925837,0,0,0,0,0,0,0,0,557781,822621,0,803640,1470,0,0,11160,0,942024,0,0,1221,270275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885523,1070718,0,0,0,263941,0,0,0,0,0,0,15517,0,0,0,2060539,0,0,0,0,0,0,0,2243390,0,1614207,0,0,0,3113287,0,0,0,0,0,0,29582,0,0,0,0,0,0,0,0,0,0,1959095,860,0,0,0,763837,0,0,0,0,0,0,0,0,270872,0,0,0,0,0,0,0,0,0,0,0,0,463903,0,244598,202462,0,839921,0,0,3477839,712762,0,0,3144568,0,264617,1564754,1143107,948521,0,0,0,0,0,0,152344,262613,0,0,0,0,0,0,1359647,0,0,1019,197,0,841140,186450,0,0,0,87226,0,212877,110612,0,0,0,0,0,0,416626,948112,390057,0,0,1884,0,2665696,297557,1030,0,0,386522,136521,881801,1481573,211203,19842,8062713,0,4594,0,0,0,0,3485,0,1463481,1166,7084130,4832,8272,12574,0,0,122501,0,0,0,10521,0,0,0,900,1234275,0,298624,0,0,0,238824,2565345,0,0,0,6696,3252,1412304,922580,"Bacteroides faecis"
"Brachyspira sp. CAG:700",0,0,0,0,0,0,0,0,0,680408,0,0,525470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543816,0,0,0,0,0,0,0,0,0,0,0,0,0,830431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055167,0,0,0,0,0,0,0,0,0,0,0,0,0,312036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brachyspira sp. CAG:700"
"Parabacteroides johnsonii",0,0,0,0,0,0,0,0,0,384079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,3371,0,147470,0,945880,0,0,0,144286,0,0,0,0,0,0,34226,0,0,0,11028,69928,0,0,0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305110,0,791120,0,0,0,2629555,0,215974,0,0,0,0,0,0,2548,0,0,0,0,0,1254096,0,0,0,643615,0,0,0,0,0,409407,0,14768,723,0,0,0,0,149961,0,0,0,316972,0,0,0,0,0,0,0,0,0,0,0,994164,517027,0,0,0,20047,0,0,223462,0,0,50212,85699,15916,71642,0,0,0,0,0,0,0,0,0,0,216463,486687,60957,0,0,0,0,0,0,0,0,0,198253,0,264240,2284272,0,0,0,242104,0,677167,0,0,0,1555246,2785406,0,0,17155,17617,494,0,468,3662965,0,42216,0,0,0,0,1351,208488,129504,0,0,48010,0,140684,3361,0,0,0,398599,0,0,452504,320270,0,0,140710,0,0,0,0,28578,8922,2788,4796,0,0,0,9279,0,0,0,0,0,383192,0,1025399,0,0,0,0,0,0,1445441,1275,1237528,0,0,0,0,179193,0,0,0,0,0,44772,0,1784,0,0,0,0,0,0,403,0,0,0,0,0,"Parabacteroides johnsonii"
"Butyrivibrio sp. CAG:318",0,0,0,0,0,0,0,0,0,235326,0,0,0,0,0,1736340,0,0,0,0,0,0,2610548,0,0,6539,0,0,0,0,0,0,1612315,0,0,0,0,0,0,1696319,0,0,0,0,0,0,204081,0,0,0,0,0,293504,0,0,0,0,0,0,0,0,0,509687,0,0,0,0,0,19545,0,0,0,0,0,1260093,1031759,118178,4014908,0,0,0,0,0,0,0,16508024,0,9853539,9319752,0,292,0,0,0,0,0,2773565,0,0,0,200578,0,0,0,25665,0,0,0,1229937,0,0,0,1777919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6460,5121770,803285,0,0,0,189822,0,17648,0,0,0,0,0,0,1786102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6961977,0,0,0,2603555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7888,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3765171,1069992,0,0,0,0,0,154541,0,0,0,0,0,0,0,0,0,342772,2708218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12736011,40729,0,0,0,17041,0,0,0,0,"Butyrivibrio sp. CAG:318"
"Catenibacterium mitsuokai",0,0,0,0,0,0,0,0,0,222079,184366,103061,0,0,145234,17268,0,0,0,0,0,0,186895,0,84006,157320,0,0,0,375687,0,0,0,35636,0,0,0,0,0,74160,47282,0,0,0,669710,0,248238,0,0,0,1205923,520001,68851,0,0,0,0,0,0,0,0,320885,0,2155320,0,3500664,1477669,0,966342,0,0,0,0,0,0,0,0,62618,0,13371,0,0,0,0,0,1892452,0,0,0,0,0,0,0,17286,41142,0,993654,0,0,57795,0,0,2065799,0,144203,0,0,0,54244,0,132473,67355,533209,0,0,0,0,0,0,0,0,0,0,373012,0,0,0,499374,90293,0,0,0,0,365714,450447,0,0,0,0,0,0,0,2733924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,369662,105028,0,0,0,0,0,0,0,0,0,0,0,1409940,6794044,0,0,0,3915,7302,0,0,0,0,0,229094,0,20925,212351,0,220102,0,0,0,0,0,213741,0,0,0,0,0,0,0,0,0,442483,32445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Catenibacterium mitsuokai"
"Candidatus Gastranaerophilales bacterium",0,0,0,0,0,0,0,0,0,140289,0,14859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108690,0,0,0,0,0,0,0,21229,0,0,8223,49885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661134,0,0,0,5773,0,0,0,0,502194,0,0,31634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2761,151,469,0,0,0,0,0,13779,0,0,0,96179,14541,16520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24458,0,0,0,346060,0,0,0,0,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Candidatus Gastranaerophilales bacterium"
"Clostridium sp. CAG:413",0,0,0,0,0,0,0,0,0,69302,0,1113316,0,0,0,87622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198378,0,0,0,0,225886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3218133,0,0,1962279,0,0,0,0,0,0,0,0,5604939,0,0,0,0,0,0,0,719559,0,0,829851,0,0,0,0,0,0,149296,0,0,0,0,5553984,0,0,0,0,0,0,0,0,2362518,0,0,390880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134807,0,0,0,0,0,7725867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8514903,0,0,0,5824,3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. CAG:413"
"Alistipes sp. An66",0,0,0,0,0,0,0,0,0,14543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2177,0,0,0,0,224484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16638,0,0,0,0,0,0,0,0,0,0,0,0,0,40094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alistipes sp. An66"
"Firmicutes bacterium CAG:145",0,0,0,0,0,0,0,0,0,7274,0,0,1277,0,0,0,0,0,3069,0,14974,0,0,519273,0,0,0,0,21160,0,0,9858,0,0,1967,9456,0,0,3854,532,0,26283,7143,0,3783,0,0,0,3599,0,1646,92449,806,0,2073,0,0,0,0,0,8230,0,5067,17079,280,20142,0,11307,0,0,9807,697397,0,1669,0,7860,0,0,18819,0,10693,0,8766,322694,0,0,40124,0,1520,11826,0,0,0,0,2895,0,0,0,6018,9869,0,26303,0,0,0,12341,0,0,0,0,11187,0,0,0,0,0,0,0,0,0,0,97214,0,0,2168751,0,23707,0,0,1972,0,359903,8790,28872,0,28309,0,18866,0,39303,33347,318676,0,0,0,146850,33434,323891,99949,65940,37514,0,0,53604,0,0,74712,400285,144055,183,7471,0,16070,13107,0,365880,0,2170,226615,229543,37842,126934,0,0,27610,0,101902,12016,86717,0,150674,0,0,0,0,0,0,0,114560,22447,0,612,29449,0,0,0,0,0,14929,0,1524,11470,27378,0,0,0,0,148858,0,0,0,377927,8226,20240,44103,2126,0,25206,0,0,87730,12142,102172,0,23163,0,10935,0,25273,249708,0,0,0,0,4949,64783,5557,27133,0,0,0,484121,0,0,0,3517,0,52368,0,18458,51920,0,0,0,158158,49824,0,128911,62198,12736,"Firmicutes bacterium CAG:145"
"Flavonifractor sp. An10",0,0,0,0,0,0,0,0,0,6149,0,0,10021,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,4861,63057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,0,0,0,0,0,0,0,3231,0,0,0,0,0,0,0,0,0,682,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,7706,2928,0,0,0,75775,0,0,0,0,0,0,0,0,0,0,0,0,0,4524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5599,0,0,0,0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9312,0,0,0,0,0,0,2619,19368,0,27107,16206,0,0,0,1162,0,0,0,0,0,0,5968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3672,0,0,0,0,0,0,808,0,0,"Flavonifractor sp. An10"
"Ruminococcus sp. CAG:330",0,0,0,0,0,0,0,0,0,5973,0,0,0,0,0,0,7232,0,0,17186,0,0,0,0,0,58798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171163,0,0,0,0,12265,0,117700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445,0,0,0,0,0,0,0,0,0,0,1892088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487217,0,0,0,0,0,0,0,982609,0,0,765882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196159,0,0,0,0,0,0,0,0,1139259,0,0,0,0,0,0,0,0,0,"Ruminococcus sp. CAG:330"
"Pseudoflavonifractor capillosus",0,0,0,0,0,0,0,0,0,2150,0,0,0,0,0,0,0,0,1142,0,0,1913,0,0,0,0,0,0,0,1568,0,0,0,0,0,3359,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,498,4956,0,0,0,7703,0,2906,0,0,0,4230,0,1473,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4466,846,2654,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346,0,737,0,0,0,0,0,0,0,0,0,0,0,7205,0,0,0,3216,0,0,0,0,0,0,0,9740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,0,0,0,0,0,0,0,7879,2302,182,0,3831,0,0,0,0,0,1410,1045,0,2105,0,0,0,0,0,0,0,0,2997,0,0,2576,209,0,0,0,34517,9630,0,0,0,11522,"Pseudoflavonifractor capillosus"
"Sharpea azabuensis",0,0,0,0,0,0,0,0,0,1579,3420,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,832,0,0,0,0,0,0,0,0,0,727,909,0,0,0,0,0,1845,0,0,0,2166,0,768,0,0,0,0,0,0,0,0,7033,494,4635,0,16627,13938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602,781,0,5453,2120,0,0,0,0,0,0,0,475,0,2338,0,0,5494,0,0,14405,471,4460,0,427,0,2280,0,0,0,7250,0,0,0,0,0,0,0,0,0,0,907,0,269,0,2149,4539,0,0,0,0,0,840,0,0,0,0,0,0,0,22583,0,0,0,0,682,0,0,0,0,0,0,407,0,0,0,516,0,0,662,0,0,0,0,0,1273,0,0,0,0,0,469,0,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,500,0,0,0,0,0,0,0,0,0,0,0,0,4906,25046,0,0,0,643,0,0,0,0,0,1403,3009,0,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,2310,3238,0,0,0,0,0,0,0,0,0,0,1065,0,0,0,0,0,0,435,0,0,"Sharpea azabuensis"
"Bacteroides faecis CAG:32",0,0,0,0,0,0,0,0,0,895,694235,0,0,0,0,0,0,4229,0,0,0,0,0,0,0,5961,0,0,0,0,0,0,121767,203332,0,0,1289,384,0,0,0,498,0,0,0,627133,1213,0,274956,0,0,0,0,0,0,0,0,0,109915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626564,570866,0,0,0,97123,0,0,0,0,0,0,0,0,0,0,672859,0,0,0,0,0,0,0,0,0,520581,0,0,0,650347,0,0,0,0,0,0,13877,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,578513,0,0,0,0,0,0,0,0,0,0,0,0,92032,504,32537,267316,0,81241,0,0,11715563,997,0,0,655398,0,376019,0,533029,2398640,0,0,0,0,0,0,560,0,0,0,0,0,0,0,3171093,0,0,281,0,0,0,0,0,0,0,11551,0,285967,132036,0,0,0,0,0,0,790617,1427295,1247,0,0,0,0,0,37221,0,0,0,603025,29660,94905,0,345193,0,3584286,15746,28756,0,0,0,0,0,479,0,0,4622808,12389,5535,17015,409,0,3933,0,0,0,19792,0,0,0,0,1847814,0,0,0,0,0,102930,0,0,0,0,0,0,738503,1110833,"Bacteroides faecis CAG:32"
"Eubacteriaceae bacterium CHKCI005",0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,10598,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,0,0,0,0,0,0,0,0,9107,0,0,0,0,2168,0,0,0,0,0,0,0,0,0,3904,0,0,0,0,0,4845,0,7831,3921,0,0,2077,0,0,0,0,0,0,0,0,0,1794,0,0,0,0,0,3139,0,0,29068,0,694,0,0,0,161,0,3512,0,0,0,0,0,0,0,0,2532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,407,0,0,0,0,0,5645,0,2675,0,0,0,0,0,0,0,0,0,0,0,4454,0,0,0,0,518,188,0,0,0,0,0,0,4281,5195,0,0,1813,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4603,0,0,0,0,0,0,1920,0,3425,0,612,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,3781,0,866,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4738,0,0,34651,1745,0,"Eubacteriaceae bacterium CHKCI005"
"Bifidobacterium catenulatum",0,0,0,0,0,0,0,0,0,0,930790,0,0,6262,0,0,0,0,117081,0,36972,0,0,0,0,0,25359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3234,0,0,0,0,166670,0,0,0,0,48006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17351,0,0,0,0,0,0,82806,68167,0,0,0,0,49052,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13198,0,0,0,250748,0,0,0,25974,0,0,102919,0,0,1562853,0,0,0,0,35529,26508,103688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102672,0,0,0,0,0,0,0,0,0,0,0,0,500,361006,0,0,1382144,854448,0,0,74499,0,0,0,0,0,0,0,0,0,"Bifidobacterium catenulatum"
"Bifidobacterium angulatum",0,0,0,0,0,0,0,0,0,0,566208,0,0,70147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199862,0,151869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bifidobacterium angulatum"
"Lactobacillus paragasseri",0,0,0,0,0,0,0,0,0,0,565289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58864,0,0,0,0,0,0,0,0,0,0,0,76234,681088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lactobacillus paragasseri"
"Ligilactobacillus salivarius",0,0,0,0,0,0,0,0,0,0,55414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626,0,0,0,0,130434,0,0,0,0,0,0,0,0,0,30818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50763,85,0,0,0,14905577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9764,0,99813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44272,0,0,"Ligilactobacillus salivarius"
"Limosilactobacillus vaginalis",0,0,0,0,0,0,0,0,0,0,29833,0,0,0,0,0,0,4385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156486,0,0,0,0,0,0,0,0,0,0,0,5386,59176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31475,0,1131,0,0,0,0,0,0,0,0,3750,0,0,"Limosilactobacillus vaginalis"
