"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915","FeatureID"
"Streptococcus australis",14695,0,2766,3124,0,5856,0,0,0,0,0,0,0,5217,0,0,10655,0,0,0,450,0,1677,5456,0,296,318654,0,0,114066,134013,0,60255,0,0,15347,3292,0,0,0,2068,0,11132,974,262,6887,0,0,2259,0,0,0,14821,0,0,800,0,0,768,0,1190,0,0,54836,15400,0,0,0,0,0,0,0,0,0,0,0,0,4832,0,0,0,0,2956,0,0,0,0,0,0,9629,11442,0,0,0,5704,0,8688,0,0,0,2562,34593,0,624,0,0,1402,0,14509,0,0,0,0,1343,49830,0,510,0,0,0,0,0,0,5935,0,0,0,0,0,0,0,0,0,15766,0,0,0,0,0,0,0,0,68495,382,0,0,0,0,0,0,0,3920,0,0,"Streptococcus australis"
"Streptococcus sanguinis",13848,0,1198,13108,0,6609,4256,11319,0,11193,0,0,0,0,0,53642,15352,0,0,0,2796,0,0,7298,0,49614,122758,0,0,135384,41649,10021,63936,21599,0,0,13069,0,12330,0,0,0,17609,1189,5179,11981,9242,0,788,0,0,0,0,0,55397,1593,27532,1448,0,0,10609,7383,0,0,5118,0,6321,0,0,0,0,109928,0,0,0,2454,1301,4007,5287,0,1710,0,5657,26714,19632,3514,0,11438,1300,1160,0,103563,21514,15708,6277,0,5598,0,1058,0,0,19143,2607,0,37478,15783,0,0,6724,0,17732,4766,2597,952,5730,1833,23147,0,0,0,0,0,6770,0,0,3689,0,2847,0,11550,0,9357,0,2021,0,0,0,0,0,0,1770,0,205847,0,0,9062,0,0,0,0,0,53097,0,0,"Streptococcus sanguinis"
"Veillonella atypica",13120,1249,1015,0,0,0,0,1023,80460,1243,0,0,0,0,0,616,0,0,0,0,0,0,194351,0,0,0,0,0,6197,0,0,0,0,0,1259,68826,19896,0,0,0,0,0,0,535,0,0,6639,0,30630,0,0,0,0,170136,0,0,1807,0,0,0,26994,0,633,644,0,0,0,807,0,0,4864,0,0,364912,0,4254,0,0,0,2506,0,0,0,1467,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,520,0,0,2317,0,0,0,0,0,961,0,905,0,0,0,0,0,0,34973,0,0,0,1291,26419,9849,4956,26702,1178,39355,1431,34730,130850,12903,0,187972,0,8088,1401,0,5960668,0,0,568,0,0,456,7366,0,1747,0,0,0,0,24421,0,"Veillonella atypica"
"Ruminococcus bromii",12625,4592956,4742986,0,8181,519,3665,17450,329214,5486732,380794,6070730,49693,9032500,15851673,6497,0,18247742,950434,13164327,0,8700696,5402503,4077640,10529532,0,1318,3320,284270,8153570,2345088,910,0,5933873,537369,19780,6644177,617,7933747,7580630,11290495,14623876,115154,0,7383224,10112,13315857,107502,444,12061845,2710128,13026715,320436,848529,1191,409,7226,0,2350087,10607967,6946602,11722,926163,60967,14811448,6354474,8999169,159248,2067894,3754472,1764530,10259,7713,5470322,10597572,135057,4007,4581,434,72,6356981,13407845,3050154,4435,2846121,126899,6256084,1984,2411609,356,12980426,0,2057439,4962853,12558338,9442103,9407615,6508748,1875246,1492,0,8851464,6944,5105849,0,3753,18457593,10347550,8241,1590,3278,6106,1692774,15936811,9015135,42804,9113794,10826,0,1807414,97493,839336,1345766,4895814,1554,4468169,0,8343659,7079,5252946,384046,5456,1967450,5609498,32787,10955869,1655,2769561,5129,1946865,6216659,0,5441540,7301082,194,13235,4099881,0,11697,2574085,4644222,269089,5545288,4413156,"Ruminococcus bromii"
"Haemophilus sp. HMSC71H05",12139,0,2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49656,0,0,0,0,0,0,13806,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,0,0,0,0,0,0,0,0,109130,268832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,0,0,0,10764,0,1778,0,0,0,0,0,0,1509,19288,0,0,0,2100,0,0,0,0,0,0,6851,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,0,285,0,0,0,0,0,0,0,0,0,0,0,0,23792,0,0,0,2552,0,0,0,0,0,2675,0,0,0,0,0,0,0,0,0,0,15224,0,0,0,0,0,1697,0,0,0,"Haemophilus sp. HMSC71H05"
"Firmicutes bacterium CAG:83",11693,47756,4057668,545989,0,0,18745,0,73002,120822,48647,721872,118259,41012,544561,8300,145606,43074,79252,154567,369956,904304,160055,126399,19208,0,0,98640,37918,12160,52570,0,15422,0,10930,3520,0,1438,496661,90430,1677,46116,21603,0,44120,248506,318762,135546,0,0,0,644968,868598,22141,0,0,11672,1521,395495,39650,5495,85514,170584,0,0,1696228,42916,432782,201805,587956,126532,660402,13485,1389744,2732700,69134,22434,10776,0,62194,111885,0,91417,174400,0,67477,165401,116,3958,0,99308,0,201,1060160,18672,410,42662,269994,134130,1112431,0,40490,57410,1789855,299913,16205,0,58003,0,400372,986880,0,0,73670,0,13536,39998,101176,29421,110233,353268,1396600,1364086,90742,2845,363880,153619,34140,1185772,173598,121181,8708,72672,8125,1726,23063,0,0,0,945834,1338652,0,909695,1109402,322445,131170,0,0,229758,645868,320959,0,281650,13910,"Firmicutes bacterium CAG:83"
"Veillonella dispar",11578,1130,0,0,0,0,0,13697,6530,2251,0,0,0,0,0,0,0,0,0,0,0,0,39597,0,0,0,0,0,16830,1987,0,0,0,0,5595,356459,2681,0,0,0,0,0,6633,0,0,0,1256,0,0,0,0,2635,0,44252,0,0,0,0,0,0,16790,0,2364,0,0,0,0,2963,0,0,0,0,0,192708,4397,29652,0,0,0,2020,0,0,0,4825,0,0,0,0,0,2503,0,1780,0,6388,2041,0,0,0,0,0,0,0,0,0,0,0,0,0,7235,0,0,0,0,0,0,0,0,5062,0,0,0,0,35613,0,0,2794,0,5044,1592,0,52120,6934,0,21420,0,0,1087,0,0,0,0,0,11175,0,0,15699,0,1195,0,0,2012,0,3687,0,"Veillonella dispar"
"Veillonella parvula",11411,0,5550,74163,12399,0,0,5995,520468,0,756,0,0,0,0,821,4813,0,0,0,0,0,174117,12382,3059,0,5781,3250,39941,0,0,0,3941,0,1724,287614,24176,0,1849,0,0,0,2357,89467,0,21567,1791,0,0,0,0,0,0,493286,64527,0,9855,0,0,0,34433,4869,13737,4612,0,0,0,7294,0,0,18916,0,0,1127918,0,34721,0,0,0,0,0,0,0,26266,0,776,0,0,0,0,4918,91530,14289,13996,662,0,0,0,0,1243,0,0,0,0,31448,0,0,9941,956,0,27021,0,1339,4986,0,6116,0,35456,0,0,0,0,329350,148932,3138,51168,21762,181831,0,6520,87916,100743,0,131230,0,0,3027,0,943135,329,287,0,79952,2106,1092,285656,0,0,0,191531,0,913641,2358,0,"Veillonella parvula"
"Enterococcus faecium",10470,2082,0,0,0,0,0,0,0,0,0,517663,0,0,0,0,0,0,0,0,0,343397,0,0,0,6678,0,0,85562,15395,0,0,0,0,0,30552,3568,0,0,23458,250360,9951,0,0,0,0,0,0,167,0,163851,0,0,0,1688,1100791,0,0,10739,0,0,57724,8304,64501,0,0,0,0,0,0,0,0,0,0,0,3225,0,0,0,0,45672,0,0,26225,0,0,0,26250,0,0,0,0,0,4136,118127,27734,0,0,0,0,516481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207649,0,0,0,0,0,0,0,0,67617,0,0,1758721,0,142936,0,3411,0,68797,0,0,0,0,383,0,0,23204,0,0,0,0,0,0,0,2987,"Enterococcus faecium"
"Lachnospira eligens",10106,104173,57713,339748,243624,0,0,29981,279,0,51514,382457,585092,3593,35813,8392,57484,97809,23365,893189,154120,648039,53092,607443,37101,0,0,236962,5438,11661,31127,1499,0,0,753553,330070,192787,0,1140543,204956,180162,72670,15612,10034,0,447007,80779,24969,2570,1838,0,54781,1232326,1364,0,0,0,16914,836482,0,7836,253774,132821,3879,4117,188684,172368,1402062,112163,0,893832,422206,1337,248597,107279,279761,41708,0,0,47398,175282,8138,165951,188669,0,10299,24035,8905,75994,8010,958682,26284,12755,187869,119467,13624,192011,216862,67697,17340,0,10796,21737,535414,735639,0,22688,839174,0,0,145959,4263441,554469,139212,0,41088,81,565891,2550958,589732,523568,81425,342800,495745,0,240865,3107215,453867,931484,17663,1191977,20290,12635,492681,0,0,0,0,0,3557504,835681,0,426915,142376,4051439,1609,0,0,312763,142332,203984,62566,425048,84920,"Lachnospira eligens"
"Actinomyces sp. S6-Spd3",8675,0,2219,0,4982,1581,0,3252,0,0,0,0,0,0,0,0,0,4250,0,0,0,0,0,0,137,9666,0,226,0,2479,6770,0,96,0,4762,405,3890,0,0,0,10137,0,1811,942,2272,0,853,919,1760,0,662,0,1659,7530,0,0,525,4180,5453,0,0,0,0,5023,0,1617,0,0,0,0,0,0,0,35769,0,0,0,0,278,0,0,0,0,0,410,0,1041,491,0,0,0,0,0,0,0,1396,4879,9688,0,0,0,0,12679,7504,0,2405,591,0,4918,0,0,0,0,0,1992,0,5973,0,0,0,0,0,0,1415,0,80,0,0,0,0,641,0,85,2097,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,"Actinomyces sp. S6-Spd3"
"Gemella haemolysans",8642,4370,632,0,3486,4448,2191,0,4913,0,0,0,0,1495,0,0,5952,0,0,0,0,0,0,0,0,0,654,0,0,7026,87831,9801,2707,6785,0,9845,652,0,0,0,0,2581,3497,0,0,2248,5590,0,0,0,21040,0,3597,5371,1651,6296,732,0,0,0,9153,0,0,7269,4775,1448,2956,0,0,0,0,0,0,3793,0,2491,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,3912,6505,0,1092,2402,0,0,0,0,0,11018,0,0,0,0,0,0,2056,0,0,3591,0,0,6442,0,0,1323,0,0,0,0,0,0,0,0,0,0,0,3615,1269,0,1551,11139,0,0,409,0,3031,0,969,0,0,0,456,0,0,0,0,620,0,13421,0,0,"Gemella haemolysans"
"Allisonella histaminiformans",8196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12430,0,0,0,17796,0,0,182,0,0,0,0,0,0,0,0,3967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,0,0,0,3508,0,0,0,0,0,1646,4321,0,0,0,0,0,0,0,0,0,0,10521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25339,87071,0,0,0,6333,0,16405,14471,38199,0,775,0,0,0,0,0,3410,51361,0,0,0,0,0,34518,0,0,0,0,0,0,6670,0,0,0,"Allisonella histaminiformans"
"Limosilactobacillus fermentum",7386,0,2705,0,0,0,0,0,0,0,0,0,0,0,0,8236,0,0,0,0,0,0,0,0,0,4258,307732,0,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56336,0,16986,49728,0,0,0,8672,3811,0,9729,0,0,0,0,0,8182,0,0,0,0,0,0,69047,0,0,0,35800,0,0,497,0,0,0,0,0,0,21228,0,0,0,0,0,0,0,0,6408894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14089,0,0,0,0,0,11297,1574,0,0,0,0,0,32687,0,2751,0,0,0,0,0,4044,0,0,0,0,0,0,0,0,0,164704,0,0,0,0,0,0,0,0,0,0,0,0,"Limosilactobacillus fermentum"
"Leuconostoc mesenteroides",7300,20077,0,0,1501,0,0,0,0,0,0,2025,0,0,0,0,0,0,0,0,0,0,47867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068,0,0,0,5433,0,0,0,26094,0,0,0,0,0,0,0,3471,16960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3703,0,0,53631,0,0,0,0,0,0,0,0,0,0,0,11407,0,0,0,1156,0,2394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23432,0,0,265,0,0,0,0,0,0,0,0,"Leuconostoc mesenteroides"
"Holdemania filiformis",7214,0,168270,166,0,0,61705,0,0,0,4411,0,479,1587,21970,66857,0,0,2306,4613,32515,4742,53823,0,8117,0,0,18415,39290,19034,6915,0,3790,208247,0,7336,0,0,0,13390,367,2014,3856,0,126,16406,0,1924,1621,1813,2155,14880,0,0,0,0,44467,0,2209,0,28656,11339,35503,0,1284,146,29314,16270,12147,27075,34437,24514,12635,0,359,85628,14907,0,0,0,35568,0,0,0,0,0,8999,2591,4964,23076,3194,101442,0,0,15280,1826,20844,2691,6652,0,0,0,61471,0,24712,0,2892,0,0,48708,0,16824,0,10233,0,3091,24477,0,20486,7848,7829,8725,10988,2255,0,993,12066,0,0,11859,1989,0,42034,32863,0,1305,33980,0,0,647,24366,0,46477,4648,12389,428374,0,0,19175,124755,1966,0,0,29146,"Holdemania filiformis"
"Rothia dentocariosa",6343,0,0,0,4343,0,0,0,4366,4322,0,0,0,0,0,0,3747,0,0,0,0,0,0,0,0,0,677,0,0,14354,14715,0,16779,0,0,0,7431,0,0,0,0,0,0,1078,0,0,2038,0,0,10013,124,0,0,0,5875,0,0,9607,0,0,0,0,0,5607,0,0,0,0,0,0,0,0,0,8213,0,0,0,0,0,0,0,0,1639,1541,0,2905,0,6085,0,75,0,37773,45934,2120,0,0,1467,0,0,0,0,9827,0,0,0,0,0,0,7013,0,2524,0,0,0,0,5337,0,3763,0,0,0,0,10159,0,0,0,0,0,0,0,0,20064,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,0,0,0,0,0,152,0,0,"Rothia dentocariosa"
"Veillonella infantium",6282,0,0,0,0,0,0,384,4425,0,0,0,0,0,0,0,0,0,0,0,0,0,22122,0,0,0,0,0,823,0,0,0,0,0,0,69830,309,0,0,0,0,0,0,1157,0,0,0,0,927,0,0,0,0,22201,0,0,0,0,0,0,2238,0,0,274,0,0,0,0,0,0,0,0,0,66957,0,2593,0,0,0,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,5062,0,0,0,0,12271,1032,0,2524,0,0,0,0,34643,936,0,9807,0,0,0,0,1749,0,0,0,10662,0,0,1293,0,0,0,0,0,269,970,0,"Veillonella infantium"
"Streptococcus mutans",5853,0,0,36000,3117,2135,0,0,29679,0,0,0,0,0,0,117469,0,0,0,0,0,0,0,2014,0,0,49541,0,0,110598,0,0,0,0,0,0,0,0,0,0,0,0,0,3401,1512,6123,40536,0,0,33640,0,0,0,0,48093,21808,47459,3371,2393,1798,9359,18805,0,0,0,879,0,0,0,0,0,0,14150,25700,25449,1675,0,1246,6312,0,0,0,0,0,0,0,0,232947,0,0,0,3930,203018,31662,0,490,0,0,0,23574,0,0,0,0,0,3577,0,0,89,0,88282,0,0,0,0,154344,0,46094,0,0,0,14956,16498,0,1649,0,0,85585,12227,20298,0,31752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,0,4317,0,0,0,0,"Streptococcus mutans"
"Streptococcus oralis",4581,0,0,9321,4467,12414,6487,0,5993,10248,0,0,7902,3821,1278,265,10423,0,0,0,0,0,0,2628,0,2474,3364,129,36437,29125,59340,0,22934,3753,0,0,33851,0,7301,0,0,0,26533,0,0,0,43643,477,1077,0,4049,0,0,0,77559,8203,0,0,490,0,11831,9514,2106,22642,3339,5324,0,0,11611,14884,0,0,0,80627,0,1800,0,7599,6580,0,0,0,0,2885,12123,885,0,0,0,0,3330,67582,57659,0,0,18392,2804,0,0,0,0,21019,1493,0,0,143,0,0,2601,0,1488,2738,0,1017,8763,3738,0,2992,0,0,0,0,30744,11995,1062,0,0,921,0,1490,0,16374,0,78331,346,1622,0,0,5084,0,0,5699,31154,0,0,0,0,0,0,5141,0,7278,0,0,"Streptococcus oralis"
"Alistipes onderdonkii",4168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314,0,0,0,1490,0,0,0,0,0,0,0,15867,0,0,0,0,0,0,0,0,19574,0,0,0,0,0,0,1791,6526,0,0,0,0,0,0,0,0,0,523,529,0,0,0,0,0,0,2023,0,16517,70427,0,0,0,0,0,0,0,65027,0,0,0,0,0,0,0,0,0,0,0,0,130687,0,0,0,0,5979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21291,0,0,87671,0,0,0,0,0,0,0,22728,0,0,0,0,0,0,0,0,4486,0,0,0,0,0,0,0,0,0,0,0,0,9650,1587,0,0,0,0,0,331484,0,0,0,96487,"Alistipes onderdonkii"
"Collinsella intestinalis",4106,4449,5331,2440,6296,29033,27917,0,2819,5442,7451,12212,5342,3851,4142,14721,15772,8044,5576,6145,9332,7537,3273,8403,7474,0,0,9713,5029,9441,2552,0,11323,0,1780,1609,8164,9908,7533,13931,59468,22214,19186,0,654,1096,1917,41301,10576926,12863,0,11360,10764,2787,0,5710,1685,46696,9064,0,0,1429,1795,13115,7449,26282,17615,2544,5927,9843,2954,2451,26432,0,16810,0,13767,257,9115,23387,2405,4642,27993,4846,3032,6932,6474,6452,1975,4094,0,0,18376,1062,0,2592,1126,0,9214,0,0,15343,4917,7329,9671,9514,30816,0,4722591,18017,13456,0,2983,4436,3086,24781,20898,9364,0,14489,6903,2942,0,3805,410601,496,4093,11423,17150,0,2428,0,3716,648,0,16855,553,2690,0,0,747,189,0,29761,811,0,0,6103,290,1103,4102,0,5265,2265,"Collinsella intestinalis"
"Enorma massiliensis",3321,3087,2894,2963,4654,9430,5163,0,4097,5692,3381,3255,12979,3907,3947,11001,27189,7624,3974,3047,7407,2966,1385,5804,7468,0,0,4402,1870,4982,1885,849988,14085,0,31541,0,5234,12882,6614,27115,31727,18068,16367,208,0,560,142851,17024,1221,17999,0,1160429,7987,2841,0,2902,782,60117,6833,0,350779,428,529,4671,7917,7724,12096,1534,2220,1007,14637,838,8121,3718,11769,0,4892,655,4368,22401,1550,1460,8749,9560,2212,19239,3677,0,2241,5857,0,0,1859,3974,215,2927,0,313,4040,0,0,4986,10569,10478,3795,4528,27421,0,11353,4965,4871,0,200,2330,175767,23498,9290,6692,0,10924,2431,2746,0,591,0,551,5450,6934,7685,808,1861,0,2684,824,0,2054,0,939,0,0,379,355,0,622,925,0,0,6655,0,463,3414,0,9584,1641,"Enorma massiliensis"
"[Ruminococcus] gnavus",3317,245,2286,37841,0,5169319,343608,3720021,10021340,0,0,0,2050,418,1660,45725,6571,0,0,0,6087,1654,9310,626,0,6529503,0,13034,202378,1602257,12586013,5449980,3777,43143,38503,35829,10193,844348,22298,12107,201954,10935,12739,95270,640,175,9247,4665,115955,190389,244816,2327,1124714,1248316,1874594,25741,18743877,14474,8735,0,744021,9706,82311,10641455,9320,148869,41472,19191,890,0,49642,1362,0,6816,1308,188609,1471,0,181429,0,7385,3667,12686,256104,1028359,0,7337,25361,235121,9302,0,2864574,364601,77600,283108,31887,33441,0,0,20104,5408243,0,13516,0,58190,1639,377,0,2990731,29776,84920,18102,0,10386,3918,0,148239,0,101178,0,1404,0,2491635,0,68103,411,0,328803,4528,131277,24944,9508,471,1845136,571772,17707,28949,67650,9711325,8817,80389,1081300,27273,5143,49336,1167754,99793,3703205,0,29323,3476,979961,0,0,"[Ruminococcus] gnavus"
"Gemella morbillorum",3014,0,0,0,0,2150,0,0,7367,0,0,0,36975,0,0,6119,5532,0,0,0,0,0,0,0,0,0,0,0,0,4736,11655,0,1254,0,0,0,3776,0,0,0,0,53831,3898,0,0,1888,0,0,0,0,0,0,666,0,0,225,0,0,0,0,440,0,0,0,0,304,40074,967,34875,0,0,17476,0,4544,18057,63609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5704,0,0,0,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175974,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22577,1487,344,0,0,0,0,0,0,0,8694,0,0,0,0,7045,0,0,0,468,0,1428,0,0,"Gemella morbillorum"
"Actinomyces sp. HPA0247",2826,2307,0,0,22820,0,0,1792,5950,0,0,0,0,0,0,4482,0,5364,0,0,0,0,0,0,0,3904,0,0,46987,5430,273,6221,0,0,0,0,2795,0,0,0,0,0,0,0,0,0,8137,0,1621,5099,1047,0,4303,5526,1556,1576,167,864,0,1478,0,9974,1673,757,0,0,0,0,0,1399,0,0,5990,4408,7013,0,0,0,2091,216,257,0,0,0,1423,1058,0,7904,0,0,0,0,211,4923,0,0,0,0,0,0,1050,0,3787,0,0,2667,0,0,12670,261,1647,0,0,0,2554,3932,268,0,0,0,0,772,0,0,0,5747,0,1016,15172,1873,0,0,0,0,1074,0,0,0,0,0,0,178467,0,0,0,0,0,0,0,0,0,0,0,0,"Actinomyces sp. HPA0247"
"Actinomyces sp. oral taxon 181",2515,9374,140,0,2878,0,518,1160,3834,0,0,0,0,0,0,232,1597,0,0,0,0,0,0,0,0,0,0,0,13224,1583,5818,0,6032,0,0,701,2271,0,5187,0,16193,0,1056,0,0,0,3335,0,2431,2526,7537,0,6315,1352,0,0,5526,7800,0,0,1742,0,8706,5243,0,0,0,0,0,8590,0,0,749,40642,11288,3122,0,0,1591,1198,803,0,0,497,0,2296,0,4030,0,0,0,8698,5334,6511,0,0,0,0,0,260,2992,535,4376,0,0,78,0,0,6685,256,0,0,0,0,5174,0,4900,0,0,0,0,0,1573,0,0,86,0,0,0,2441,0,0,0,0,5023,1118,0,0,0,0,0,10334,0,0,0,824,0,0,0,275,0,4111,0,0,"Actinomyces sp. oral taxon 181"
"Actinomyces sp. HMSC035G02",2372,0,0,0,4291,2054,850,1134,0,0,557,0,0,209,0,583,4421,3022,0,0,0,0,0,0,1071,9444,0,5597,0,39941,1642,506,3688,0,345,0,4045,1402,0,0,6731,0,2705,216,2495,0,10584,4511,5884,21408,2053,0,7574,7045,0,2268,1948,1965,6170,0,932,0,0,6501,0,0,0,0,0,3788,0,319,593,16122,5766,0,0,0,0,1794,963,0,962,2158,500,3392,0,6505,211,2337,0,5901,1480,0,1622,0,1422,0,403,0,0,665,2460,1079,224,4081,9964,0,24200,1060,0,0,0,929,12902,0,5780,0,0,0,0,1993,0,663,0,0,0,0,0,0,0,0,672,1238,4359,0,0,0,0,1004,0,3736,0,0,0,0,0,0,0,0,0,0,0,0,"Actinomyces sp. HMSC035G02"
"Streptococcus sp. F0442",2229,0,0,0,0,3396,0,0,0,0,0,0,0,13375,0,0,0,0,0,0,0,0,0,10310,0,0,9882,0,3140,36347,2909,0,0,0,0,12065,4650,0,0,0,0,0,0,0,0,2561,0,0,3275,734,0,0,5169,10066,588,326,0,0,0,0,0,0,1067,0,0,676,0,0,0,0,0,0,0,521,0,1264,0,0,0,0,0,0,0,358,0,0,0,0,0,0,5810,1219,15644,0,0,0,1015,0,0,0,0,694,0,0,0,0,0,0,4734,0,0,0,0,0,1124,0,0,0,0,0,0,0,0,6189,0,0,0,0,0,0,4203,0,0,3645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,1587,0,0,"Streptococcus sp. F0442"
"Streptococcus cristatus",2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4946,0,0,0,0,0,0,0,0,0,0,0,0,8476,5703,0,0,0,0,0,0,0,0,0,0,0,2549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3145,0,0,0,0,0,0,1515,0,0,0,0,0,0,0,0,10764,0,0,0,5078,0,0,0,0,0,0,0,0,0,0,0,0,0,51539,4748,0,0,5444,0,0,0,0,0,0,0,0,0,0,0,0,9591,0,0,0,0,0,0,0,2308,0,0,0,0,0,3558,0,0,0,0,0,0,0,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13732,0,0,"Streptococcus cristatus"
"Bacteroides eggerthii",2090,0,0,905762,3662,0,0,0,0,0,9971,0,0,0,320385,351,0,167813,14979,25853,29564,0,0,339930,0,0,0,0,155653,25095,18794,0,0,0,678595,0,0,0,0,0,0,0,7227,0,0,57068,0,40920,0,0,0,0,270464,0,0,0,0,0,0,0,100311,14970,235604,0,0,0,438453,2929365,84788,2551994,304,0,65964,2054648,311641,1433,0,0,0,82,0,0,51968,0,0,293096,0,14034,0,35317,11386,0,0,0,0,0,0,0,0,0,0,20585,24066,0,113777,1246,0,0,0,38915,0,109052,0,11262,0,0,0,0,0,0,0,0,0,0,0,422284,0,1917218,0,0,0,0,1744527,0,14630,0,0,5679074,1464,931333,172277,41243,3262,2717998,0,1870,0,0,0,1857709,275260,0,0,0,"Bacteroides eggerthii"
"Roseburia faecis",2086,80665,270463,2266866,2858733,3383457,158700,2515,5085,694280,95525,10084,28178,3076,1342450,19371,70454,497629,14625,21321,2532769,2224123,3781665,1868743,0,0,630872,987703,77010,88,2005056,0,0,470849,3077989,6087,275978,0,1442,2191608,54052,156194,29778,0,106133,334716,0,645612,0,148379,153244,225831,1518350,0,0,107389,550,5170867,1712641,4629075,2006452,156926,299432,0,257695,576435,246224,1881308,7938266,1042262,1642581,3185890,43720,26892,86058,81440,100745,160618,128486,601721,880941,0,0,1385772,620896,249334,747858,0,980593,1267285,676670,818670,7470,1201683,2323183,1766,637764,2749721,724860,0,328630,782895,371167,190937,0,244814,128734,9802,0,353,448532,4729140,785823,8435754,0,591193,541858,3306085,9141210,1958935,478693,3131902,70,220802,0,152885,6082520,846495,208087,13989428,462500,2837,1005356,77759,286807,0,1576,0,0,65782,1439851,0,6439669,3442128,120564,8515,3500922,0,3654682,505427,858313,5621693,7559881,21082,"Roseburia faecis"
"Actinobaculum sp. oral taxon 183",1583,0,0,0,2493,0,215,0,0,0,0,0,0,0,0,4007,5255,0,0,0,0,0,0,0,0,0,0,0,0,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,0,0,4207,0,0,0,0,0,0,0,847,0,0,0,0,0,0,0,0,882,0,0,0,0,0,0,0,0,721,3402,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,2745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,0,0,0,0,0,0,2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobaculum sp. oral taxon 183"
