"","CA01","CA02","CA03","CA04","CA05","CA06","CA08","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25","CA26","CA27","CA28","CA29","CA30","CA31","CA32","CA33","CA34","CA35","CA36","CA37","CA38","CA39","CA40","CA41","FeatureID"
"Eubacterium limosum",0,8984,0,0,0,0,0,0,1766,0,0,0,0,5281,0,0,0,0,0,0,0,0,0,0,14097,0,0,0,0,0,0,0,0,0,0,0,0,"Eubacterium limosum"
"Oscillibacter sp. 57_20",0,8028,355763,367517,265443,0,0,28916,263097,81137,105758,7554,379484,631100,0,323473,0,0,0,120955,55356,0,48292,83719,447894,62334,0,120749,102343,29188,16036,82828,0,170243,971727,2445,1564,"Oscillibacter sp. 57_20"
"Blautia argi",0,7665,0,0,0,28723,0,0,0,0,0,0,0,0,0,0,0,235635,0,0,0,0,0,0,0,0,0,0,0,1282,0,0,135577,0,0,0,0,"Blautia argi"
"Adlercreutzia caecimuris",0,6815,0,0,2794,626,0,0,0,0,0,1481,0,2076,1097,0,548,0,0,0,0,0,0,116,989,0,0,0,0,0,0,0,3700,0,789,3235,10008,"Adlercreutzia caecimuris"
"Bacteroides intestinalis",0,6369,0,753839,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35399,0,0,0,0,0,0,"Bacteroides intestinalis"
"Clostridium sp. chh4-2",0,6098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. chh4-2"
"Harryflintia acetispora",0,5216,0,0,8068,13713,0,0,0,0,0,0,0,0,0,0,0,0,0,40241,0,356755,138,0,0,0,0,0,0,0,3081,1311,0,0,0,2956,4482,"Harryflintia acetispora"
"Proteobacteria bacterium CAG:139",0,4752,0,0,0,964,876675,0,0,0,0,0,0,0,0,0,0,853,0,0,0,0,0,472,0,0,0,0,0,37661,0,0,0,0,490,0,0,"Proteobacteria bacterium CAG:139"
"Enterocloster aldenensis",0,4485,0,0,1089,2239,1442,0,0,0,0,0,0,2941,2457,0,45841,0,0,0,0,40270,0,0,11689,0,55481,0,0,0,0,4297,3108,0,0,0,0,"Enterocloster aldenensis"
"Bacteroides ovatus",0,3819,426476,0,524352,57145,2580153,4039,257301,356929,964,966,27994,990398,668005,185602,0,106457,105943,46636,3380,236047,0,29478,1694690,0,0,112462,4709,195831,272704,63758,32106,1122800,706530,0,0,"Bacteroides ovatus"
"Ligilactobacillus salivarius",0,3107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10525,0,0,345943,0,49994,0,0,0,0,0,0,"Ligilactobacillus salivarius"
"Firmicutes bacterium CAG:646",0,3015,0,0,0,0,0,0,0,0,0,0,0,0,25323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Firmicutes bacterium CAG:646"
"Enterocloster lavalensis",0,2946,0,0,0,0,7208,0,0,0,0,0,0,34309,16797,384,48224,1177,0,0,831,30835,0,0,16284,576,488094,0,1286,0,0,6828,0,0,0,0,0,"Enterocloster lavalensis"
"Flavonifractor plautii",0,2339,26439,23209,20347,1451782,270707,183751,70226,45900,166973,39473,15370,30421,337010,23311,1089222,197714,5878,68571,0,3878364,3010,62067,203491,30397,411878,101879,8944,175249,39306,262736,183660,515963,40867,26635,23787,"Flavonifractor plautii"
"Allisonella histaminiformans",0,2031,0,0,0,0,0,4620,0,0,12462,0,78998,0,0,0,0,0,0,0,0,10430,0,0,0,0,0,12666,0,0,0,19946,0,0,22131,13568,30245,"Allisonella histaminiformans"
"Alistipes shahii",0,1847,39247,311780,70059,38474,0,2312,0,0,4961,4555,2348,0,0,0,0,1942,2616,23713,5839,145239,0,50021,2179,0,5127,0,72768,9294,0,1902,0,0,25663,23331,1270,"Alistipes shahii"
"[Clostridium] spiroforme",0,1774,0,5801,0,0,0,1817,0,0,0,0,0,0,22671,72762,20070,0,0,109016,0,0,0,0,29438,3128,0,0,23298,0,27610,0,89844,0,1039,0,0,"[Clostridium] spiroforme"
"Streptococcus vestibularis",0,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,74643,0,9695,0,0,218378,0,0,0,0,2177,0,0,3697,0,20587,0,0,0,0,0,0,"Streptococcus vestibularis"
"Christensenella hongkongensis",0,1186,0,0,0,15349,0,404,5893,8725,0,0,0,0,2550,0,0,0,0,0,0,0,0,3823,13895,0,0,0,0,3245,0,0,0,0,0,2645,0,"Christensenella hongkongensis"
"Streptococcus sp. HPH0090",0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus sp. HPH0090"
"Bifidobacterium scardovii",0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bifidobacterium scardovii"
"Slackia isoflavoniconvertens",0,951,25138,75367,0,0,0,99880,0,0,0,227966,104066,252168,0,0,0,64457,0,0,261660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234019,764538,"Slackia isoflavoniconvertens"
"Anaerostipes caccae",0,809,0,0,0,51461,0,0,0,0,0,0,0,0,1262,0,198181,20112,0,0,0,45207,0,0,0,0,16485,0,0,798,0,17045,821702,15324,0,0,0,"Anaerostipes caccae"
"Eubacterium sp. CAG:38",0,427,0,0,0,12474,97472,1679,0,355,8256,0,0,0,0,108421,0,0,0,0,0,0,0,0,1606,0,0,30298,0,10478,0,0,802452,197247,0,0,0,"Eubacterium sp. CAG:38"
"Actinomyces sp. HPA0247",0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,1937,0,7322,4483,19074,2134,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,6085,"Actinomyces sp. HPA0247"
"Bacteroides xylanisolvens",0,0,1346629,0,517,539,0,0,48712,62416,38269,0,19542,3983,0,0,0,638084,34519,6196,10035,17945,56884,18134,189957,28865,766239,0,20169,175351,2942,83059,24146,0,1025219,0,0,"Bacteroides xylanisolvens"
"Phocaeicola dorei",0,0,1242607,0,0,0,0,1775,0,0,134340,409,0,3884893,0,1282404,0,0,0,0,1093,0,0,0,0,544,0,0,0,38435,0,0,0,0,0,0,0,"Phocaeicola dorei"
"Alistipes putredinis",0,0,877273,3846263,1802832,223700,0,10600,0,0,3107,509418,14781,2676669,1463351,1834535,0,1107654,13453,41786,1486965,1525436,0,355179,1420331,214226,0,0,789833,191458,1405152,570499,476618,0,1695883,421055,50627,"Alistipes putredinis"
"Bacteroides fragilis",0,0,675408,244972,0,41221,0,38360,0,5854,0,0,9353,8308,443108,281184,0,204387,0,0,0,138486,0,0,0,355,0,0,292462,0,28816,0,0,0,0,0,0,"Bacteroides fragilis"
"Ruminococcus bicirculans",0,0,610847,210203,0,0,0,0,0,0,0,22278,72850,0,0,2568237,0,0,0,0,1607173,0,2243636,0,194813,0,0,3433,59562,0,5543310,0,0,0,0,0,0,"Ruminococcus bicirculans"
"Odoribacter splanchnicus",0,0,299017,0,0,0,147678,40610,22760,31973,13855,0,50327,192796,0,0,0,0,0,9668,27012,66688,0,5958,727040,0,16038,173626,16715,0,11822,10239,0,0,42222,3277,0,"Odoribacter splanchnicus"
"Eubacterium sp. CAG:251",0,0,292508,810321,1818,0,0,0,803392,618141,562717,405955,2798441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482237,0,0,0,0,0,0,0,381204,"Eubacterium sp. CAG:251"
"Eubacterium ventriosum",0,0,223486,262003,117927,154715,0,3392,22074,29714,0,0,0,659186,0,13658,0,0,66472,0,10269,0,0,331530,0,342703,0,0,6132,469981,0,0,0,0,33336,752578,0,"Eubacterium ventriosum"
"Eubacterium sp. CAG:180",0,0,210662,0,63467,0,0,6348756,0,0,1098,0,7015989,238781,0,0,0,0,0,86154,0,0,16945427,7151,1419,1729,717,10082,2544100,1310,16429398,1364,2183,0,580283,1317,42332,"Eubacterium sp. CAG:180"
"Oscillibacter sp. CAG:241",0,0,188102,49684,4178572,80883,0,0,1803291,1130167,0,0,641213,1266702,0,131042,0,0,0,6961020,283549,0,21292,727947,1620110,0,0,0,85056,260,760,242151,8861,4050,166038,6734,0,"Oscillibacter sp. CAG:241"
"Bifidobacterium bifidum",0,0,131762,0,0,2173721,464652,0,62916,45665,359,2915579,0,0,0,633859,0,0,0,3862318,2349,0,0,0,0,2176544,0,2212853,1789418,0,2625724,0,0,0,0,0,0,"Bifidobacterium bifidum"
"Eubacterium sp. CAG:274",0,0,75821,0,0,0,0,0,0,0,54138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80991,0,0,0,0,0,0,0,0,0,"Eubacterium sp. CAG:274"
"Roseburia sp. CAG:471",0,0,72370,27076,0,0,0,0,798,110,445,0,683,923,5584,3899,0,3508,1144491,2118,983,0,0,841,1062,601,0,1711,153,8720,1628,0,0,11396,239,7709,3364,"Roseburia sp. CAG:471"
"Coprococcus eutactus",0,0,53130,1083339,0,0,0,0,430274,270350,2419437,14828,315916,0,0,0,0,0,0,0,651590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coprococcus eutactus"
"Ruminococcus sp. CAG:330",0,0,47566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154469,0,0,0,0,0,0,0,0,0,"Ruminococcus sp. CAG:330"
"Ligilactobacillus ruminis",0,0,41985,323731,0,56373,0,0,9932,11861,45341,562508,2138439,0,0,32717,0,0,0,0,31762,0,107818,1599933,0,0,0,0,147052,3277952,0,0,0,0,0,0,1477685,"Ligilactobacillus ruminis"
"Coprococcus catus",0,0,36443,41837,0,0,0,0,0,0,1088,9140,4352,63975,0,11423,0,245835,17772,0,214262,0,8597,0,350646,6409,0,0,15362,0,70660,0,0,0,50913,136405,11919,"Coprococcus catus"
"Methanobrevibacter smithii",0,0,33611,0,63364,0,0,0,0,0,0,0,262734,1585902,0,0,0,0,0,4243066,0,0,0,0,2737148,290,0,0,2360929,0,0,0,0,0,1582467,0,0,"Methanobrevibacter smithii"
"Bilophila wadsworthia",0,0,31312,15302,0,5497,0,0,0,0,33876,713,5771,0,9982,13820,0,14454,0,0,0,0,0,11090,0,0,0,27189,0,56076,0,1569,0,123092,34005,0,0,"Bilophila wadsworthia"
"Alistipes finegoldii",0,0,12863,237154,760494,53951,104491,6023,118027,123609,14792,54021,1867,29383,263494,209259,0,103760,0,39423,154519,108943,179,8501,1109527,14273,0,412527,136639,441,29298,0,0,0,3129,0,0,"Alistipes finegoldii"
"Firmicutes bacterium CAG:95",0,0,7551,17291,0,0,0,0,0,0,0,0,36414,5137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3559,0,0,"Firmicutes bacterium CAG:95"
"Paraprevotella clara",0,0,7287,0,1327,0,0,19230,0,0,0,0,1955,3839,973,4044,0,0,0,0,0,1800,0,0,2641,266,0,0,0,0,0,27541,0,39331,0,0,0,"Paraprevotella clara"
"Monoglobus pectinilyticus",0,0,6925,30072,0,12054,0,0,0,0,0,0,0,13627,0,0,0,0,0,0,0,0,0,59160,50391,0,0,0,0,0,0,0,0,0,141778,0,0,"Monoglobus pectinilyticus"
"Parvimonas sp. KA00067",0,0,4214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parvimonas sp. KA00067"
"Prevotella sp. CAG:520",0,0,2793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81426,0,0,0,0,0,0,0,0,0,0,196,0,0,"Prevotella sp. CAG:520"
"Gemella morbillorum",0,0,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17215,0,1146,0,0,0,0,0,0,0,0,0,0,0,1874,0,0,0,0,"Gemella morbillorum"
"Haemophilus parainfluenzae",0,0,1811,0,0,0,0,0,0,3711,2411,0,0,0,0,3873,0,0,12317,0,4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Haemophilus parainfluenzae"
"Veillonella dispar",0,0,1537,0,0,0,0,2169,0,0,0,0,0,0,0,194483,7040,0,42317,0,3437,0,5642,0,0,0,11767,0,0,0,0,0,0,0,0,0,0,"Veillonella dispar"
"Veillonella parvula",0,0,1301,5251,0,512,0,0,0,0,0,0,0,0,0,40557,0,0,50126,0,0,0,26062,0,0,3902,5613196,76632,2792,0,4817,0,0,0,0,0,0,"Veillonella parvula"
"Alistipes onderdonkii",0,0,1196,17072,0,14650,5305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44050,0,0,0,0,0,0,0,0,7903,0,0,0,648,0,0,"Alistipes onderdonkii"
"Gemella haemolysans",0,0,1163,0,0,0,0,1756,0,0,0,0,0,0,0,0,3357,0,15980,0,3452,0,0,0,0,0,0,0,0,0,0,3895,0,0,0,0,0,"Gemella haemolysans"
"Haemophilus sp. HMSC71H05",0,0,1087,0,0,0,0,0,0,0,3386,0,0,0,0,2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Haemophilus sp. HMSC71H05"
"Firmicutes bacterium CAG:110",0,0,335,49293,153037,0,0,0,44833,58954,0,0,38402,280019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812817,0,31360,0,0,0,0,0,25997,"Firmicutes bacterium CAG:110"
"Butyrivibrio crossotus",0,0,0,1021149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Butyrivibrio crossotus"
"Bacteroides faecis",0,0,0,560755,0,0,0,0,20414,23875,0,0,11543,0,0,0,0,0,0,0,0,0,3350,0,0,0,0,0,15997,0,0,0,0,0,0,180934,0,"Bacteroides faecis"
"Butyricimonas synergistica",0,0,0,156824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Butyricimonas synergistica"
"Lactobacillus rogosae",0,0,0,151825,0,0,0,0,0,0,461,0,7797,0,0,0,0,0,0,0,25475,0,0,99362,0,399,0,0,690,559,0,0,0,0,0,0,0,"Lactobacillus rogosae"
"Ruminococcus callidus",0,0,0,31615,0,0,0,0,27193,13616,321,0,72659,1989,0,92733,0,0,0,0,332212,0,0,47534,0,534433,0,0,0,0,0,0,0,0,0,0,17683,"Ruminococcus callidus"
"Roseburia sp. CAG:309",0,0,0,30855,0,0,0,0,0,0,0,0,546,0,0,14473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Roseburia sp. CAG:309"
"Butyricimonas virosa",0,0,0,19812,0,0,3225,2017,0,0,0,0,824,315898,0,0,0,0,0,0,29676,0,0,5640,0,0,0,0,0,433,3032,0,0,0,0,0,0,"Butyricimonas virosa"
"Akkermansia muciniphila",0,0,0,10610,5917319,396725,0,0,831763,554479,0,43147,0,27389,3585924,189066,74572,366,866,0,2514193,0,3823,159987,0,2028,0,0,698,0,0,0,0,0,0,102926,330459,"Akkermansia muciniphila"
"Bacteroides faecis CAG:32",0,0,0,6938,0,0,0,0,86693,54477,0,0,23561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10095,0,"Bacteroides faecis CAG:32"
"Bacteroides galacturonicus",0,0,0,6267,0,0,0,0,0,0,0,0,0,0,0,2849,0,0,0,0,0,0,8965,3869,0,0,0,0,0,0,0,0,0,0,669,0,0,"Bacteroides galacturonicus"
"Coprobacter secundus",0,0,0,6113,0,0,0,0,0,0,0,0,0,19941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coprobacter secundus"
"Ruminococcaceae bacterium D5",0,0,0,4543,579860,0,0,0,0,0,0,0,0,17909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ruminococcaceae bacterium D5"
"Parasutterella excrementihominis",0,0,0,1715,0,14604,206360,0,0,0,0,0,0,0,0,0,0,24195,0,0,0,0,0,29312,0,0,0,0,0,1263,0,0,0,0,26376,0,0,"Parasutterella excrementihominis"
"Firmicutes bacterium CAG:170",0,0,0,1500,0,0,0,0,0,0,0,0,12329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106902,0,3740,"Firmicutes bacterium CAG:170"
"Anaeromassilibacillus sp. An250",0,0,0,913,0,0,0,2169,14229,13184,0,998,16512,128537,8374,14170,0,658,0,0,19268,0,0,18194,100297,0,0,0,26231,23359,22360,0,128184,906,1252,15712,24905,"Anaeromassilibacillus sp. An250"
"Veillonella atypica",0,0,0,592,0,0,0,618,0,0,0,0,0,0,0,66457,0,0,100611,0,673,0,0,0,0,0,0,0,0,0,0,9336,0,0,0,0,0,"Veillonella atypica"
"Firmicutes bacterium CAG:238",0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Firmicutes bacterium CAG:238"
"Veillonella sp. CAG:933",0,0,0,0,465970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Veillonella sp. CAG:933"
"Parabacteroides johnsonii",0,0,0,0,236047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parabacteroides johnsonii"
"Peptococcus niger",0,0,0,0,215632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peptococcus niger"
"Alloscardovia omnicolens",0,0,0,0,169898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16336,0,0,0,0,0,"Alloscardovia omnicolens"
"Bacteroides cellulosilyticus",0,0,0,0,106219,821145,0,0,0,0,0,0,0,68041,146023,143228,0,0,0,52230,0,48440,0,1937,0,0,0,0,9053,0,0,0,0,0,1151771,0,0,"Bacteroides cellulosilyticus"
"Phocaeicola massiliensis",0,0,0,0,75720,0,611538,2241,62926,36494,265380,319,0,148565,0,0,0,0,0,3758,60946,0,1654,38894,252257,36137,413286,983656,0,105418,0,27208,100203,0,100628,0,0,"Phocaeicola massiliensis"
"Eubacterium callanderi",0,0,0,0,68345,0,0,0,0,0,0,0,0,36264,0,0,0,0,0,0,0,7478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eubacterium callanderi"
"Alistipes indistinctus",0,0,0,0,65866,33041,0,11623,545712,483755,68480,15891,0,301055,0,0,0,0,0,442587,0,0,0,7618,0,0,0,623,0,14549,0,49534,0,0,36623,28917,3065,"Alistipes indistinctus"
"Bacteroides thetaiotaomicron",0,0,0,0,51953,16381,447837,12084,25762,20658,48946,0,172832,120114,0,36261,0,0,37050,77429,29647,64244,0,57486,587648,10259,229697,187731,5234,58373,50350,128000,19762,143020,164470,0,0,"Bacteroides thetaiotaomicron"
"Lactiplantibacillus plantarum",0,0,0,0,29225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lactiplantibacillus plantarum"
"Blautia sp. An249",0,0,0,0,27029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blautia sp. An249"
"Lachnoclostridium sp. An131",0,0,0,0,14853,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,2709,0,0,0,0,8987,0,760,0,0,0,0,0,0,"Lachnoclostridium sp. An131"
"Limosilactobacillus fermentum",0,0,0,0,11164,0,0,0,0,0,0,0,0,0,0,52364,0,0,0,0,17679,0,101325,0,0,697,0,0,3560,0,18447,0,0,0,0,0,0,"Limosilactobacillus fermentum"
"Bacteroides finegoldii",0,0,0,0,4351,0,0,5566,0,0,0,750,0,516152,243254,226649,0,0,33994,0,119143,13917,15406,0,0,0,843314,1531526,2866,0,0,308284,117412,571585,4952,7018,120,"Bacteroides finegoldii"
"[Clostridium] scindens",0,0,0,0,2754,3135,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,4732,0,0,0,0,0,0,0,10094,0,0,0,0,"[Clostridium] scindens"
"Massilimicrobiota timonensis",0,0,0,0,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,0,0,22481,0,0,0,0,"Massilimicrobiota timonensis"
"Bacteroides nordii",0,0,0,0,1678,0,0,0,0,0,0,0,0,51785,15003,16900,0,0,0,0,0,1492,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,"Bacteroides nordii"
"Lachnoclostridium sp. An138",0,0,0,0,1215,0,0,0,375,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,8783,0,0,0,0,0,0,0,0,0,7107,0,0,"Lachnoclostridium sp. An138"
"[Clostridium] methylpentosum",0,0,0,0,706,4812,0,0,0,0,0,0,0,5843,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,3469,0,0,0,0,0,0,0,"[Clostridium] methylpentosum"
"Coprobacter sp.",0,0,0,0,0,84845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coprobacter sp."
"Anaerofilum sp. An201",0,0,0,0,0,5762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anaerofilum sp. An201"
"Actinomyces sp. ICM47",0,0,0,0,0,2303,1166,9130,0,0,0,4041,0,0,0,0,0,4175,9176,9045,716,0,0,0,0,0,50282,0,0,11489,0,17082,4131,8918,0,4800,0,"Actinomyces sp. ICM47"
"Clostridiales bacterium 1_7_47FAA",0,0,0,0,0,2294,1659,0,0,0,0,0,0,2657,0,0,0,0,2708,0,0,0,0,0,0,0,215902,0,0,2513,0,0,0,0,0,0,0,"Clostridiales bacterium 1_7_47FAA"
"Turicimonas muris",0,0,0,0,0,1151,38276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Turicimonas muris"
"Acidaminococcus intestini",0,0,0,0,0,0,2292742,140557,0,0,568439,25382,1201867,0,0,0,0,879257,0,78293,159460,0,167390,0,0,5311325,0,0,0,0,0,0,0,1684886,0,3962,0,"Acidaminococcus intestini"
"Megasphaera sp. MJR8396C",0,0,0,0,0,0,480910,0,62809,54817,672423,2405733,3128483,0,0,0,0,0,0,0,0,0,0,0,0,2765,0,0,0,0,0,3830,0,0,0,0,0,"Megasphaera sp. MJR8396C"
"Phascolarctobacterium faecium",0,0,0,0,0,0,30677,0,0,0,0,0,0,0,397807,0,0,0,271283,0,0,4550641,0,0,112009,1282817,0,0,0,0,333181,0,28783,0,0,0,0,"Phascolarctobacterium faecium"
"Streptococcus lutetiensis",0,0,0,0,0,0,29731,0,64264,64813,0,0,0,0,0,1705779,0,0,1214,0,0,0,0,0,0,0,0,0,57931,0,0,0,0,0,0,0,0,"Streptococcus lutetiensis"
"Clostridium bolteae CAG:59",0,0,0,0,0,0,17708,500,0,0,15231,0,0,0,0,0,0,0,0,0,143,0,0,2122,21832,0,0,299,0,10309,959,0,0,0,0,3325,0,"Clostridium bolteae CAG:59"
"Candidatus Stoquefichus sp. KLE1796",0,0,0,0,0,0,3643,0,0,0,0,0,0,0,0,0,0,0,0,2701327,0,0,0,0,0,0,2803446,0,0,0,0,259943,0,0,0,0,0,"Candidatus Stoquefichus sp. KLE1796"
"Prevotella sp. CAG:891",0,0,0,0,0,0,0,998028,0,0,0,0,0,0,0,0,0,0,0,0,0,1435877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173865,"Prevotella sp. CAG:891"
"Prevotella copri",0,0,0,0,0,0,0,917316,18885371,21096615,27795562,36794,1697217,190489,0,0,0,0,0,553500,329147,3680981,0,0,0,1408323,0,0,369907,0,0,8446058,0,0,0,113790,238989,"Prevotella copri"
"Desulfovibrio piger",0,0,0,0,0,0,0,473199,0,0,0,0,82782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275328,0,5968,0,0,11545,"Desulfovibrio piger"
"Bacteroides salyersiae",0,0,0,0,0,0,0,37523,0,0,9719,0,17691,100350,0,0,0,50615,0,0,43559,179264,0,0,270116,0,0,321539,0,0,0,312404,0,0,0,0,0,"Bacteroides salyersiae"
"Prevotella sp. CAG:279",0,0,0,0,0,0,0,37161,1463535,1496210,180661,19995,0,0,0,0,0,136417,0,36034,0,0,0,0,0,0,0,0,0,0,366049,61889,0,914630,0,0,0,"Prevotella sp. CAG:279"
"Rothia mucilaginosa",0,0,0,0,0,0,0,27684,0,0,0,0,0,0,0,2384,0,0,8483,154,945,0,3432,0,0,0,0,0,0,0,0,15143,0,0,0,0,2723,"Rothia mucilaginosa"
"Roseburia sp. CAG:182",0,0,0,0,0,0,0,26847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Roseburia sp. CAG:182"
"Faecalitalea cylindroides",0,0,0,0,0,0,0,16147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576073,0,0,0,0,0,0,0,0,0,0,0,0,"Faecalitalea cylindroides"
"Faecalicoccus pleomorphus",0,0,0,0,0,0,0,10704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Faecalicoccus pleomorphus"
"Streptococcus australis",0,0,0,0,0,0,0,9130,0,0,0,0,0,0,0,0,0,0,27892,0,0,0,7581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus australis"
"Turicibacter sanguinis",0,0,0,0,0,0,0,7793,1956,2685,0,3698,0,0,0,0,0,10849,0,0,0,0,0,0,8701,24085,0,0,0,0,0,0,0,0,0,0,0,"Turicibacter sanguinis"
"Schaalia turicensis",0,0,0,0,0,0,0,6204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Schaalia turicensis"
"Tractidigestivibacter scatoligenes",0,0,0,0,0,0,0,4605,0,0,0,1233,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tractidigestivibacter scatoligenes"
"Streptococcus infantis",0,0,0,0,0,0,0,3525,0,0,0,0,0,0,0,0,1971,0,37856,0,8555,0,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus infantis"
"Bacteroides eggerthii",0,0,0,0,0,0,0,3483,0,0,0,0,0,0,0,0,0,0,0,24186,0,76848,0,0,0,0,0,0,0,0,0,4050,0,0,0,0,0,"Bacteroides eggerthii"
"Klebsiella variicola",0,0,0,0,0,0,0,1817,0,0,0,0,0,0,23137,17774,0,0,0,0,0,648731,0,0,0,0,0,0,0,0,0,0,0,0,0,6228,0,"Klebsiella variicola"
"Coprobacter fastidiosus",0,0,0,0,0,0,0,1541,4939,5283,0,0,0,0,0,0,0,0,29702,0,0,0,0,0,0,0,0,0,0,8688,0,0,0,0,0,0,0,"Coprobacter fastidiosus"
"Candida tropicalis",0,0,0,0,0,0,0,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Candida tropicalis"
"Corynebacterium durum",0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corynebacterium durum"
