"","S112","S118","S121","S126","S127","S131","S137","S141","S143","S144","S146","S153","S155","S158","S186","S187","S193","S194","S195","S198","S200","S205","S224","S225","S227","S229","S231","S235","S239","S243","S244","S248","S249","S258","S263","S264","S268","S269","S278","S286","S288","S290","S297","S299","S304","S305","S312","S317","S327","S330","S332","S334","S342","S344","S347","S349","S350","S353","S354","S356","S365","S367","S370","S372","S378","S380","S381","S384","S389","S393","S395","S397","S398","S420","S421","S422","S424","S432","S434","S436","S439","S441","S446","S451","S456","S457","S458","S462","S463","S468","S470","S472","S475","S476","S478","S479","S483","S484","S485","S487","S488","S495","S497","S51","S517","S524","S526","S529","S53","S530","S536","S54","S543","S547","S550","S551","S552","S558","S561","S563","S577","S58","S584","S587","S589","S59","S591","S598","S60","S600","S602","S604","S614","S617","S618","S628","S638","S640","S643","S646","S655","S77","S80","S88","S92","FeatureID"
"Propionibacterium freudenreichii",6383,0,0,0,0,8182,0,0,0,0,0,14484,0,0,0,0,0,0,37989,13084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4789,0,0,0,0,0,0,0,44679,0,0,0,0,3668,0,0,0,745,5038,0,0,0,0,0,0,3959,0,0,0,0,0,0,0,1665,0,0,0,15123,10561,0,23002,0,0,0,0,5511,0,117502,0,4435,0,0,0,0,0,0,0,0,0,0,0,0,144028,0,0,0,0,0,2002,0,0,0,0,2748,0,0,0,0,0,0,16766,0,736,0,0,0,0,0,0,0,0,0,0,866250,0,121,1814,0,0,0,0,0,0,0,0,47124,0,"Propionibacterium freudenreichii"
"Streptococcus parasanguinis",6168,0,72229,6804,41161,0,0,620,2167,37042,11483,0,34431,0,30607,155303,0,1128,23419,38569,0,20356,3353,15994,6821,11601,0,14941,0,0,5504,343255,10087,2785,3873,0,12413,28969,5156,21776,0,4018,9222,2638,27627,50313,11281305,398786,21869,0,56172,8076,0,68583,14567,62729,0,1087,24474,4275,1802,21694,499871,23394,1844,23054,33530,980931,39610,12133,1453,7303,1378,36409,73582,1267809,14493,28786,60395,0,64157,37763,1139,2506,26242,169591,41280,0,2355,368587,5423,25310,938,29825,0,41088,66287,590226,0,0,43883,35860,67684,105103,49301,24342,77176,9579,1213,104329,29197,11074,11178,15681,89549,40781,0,5739,51081,19245,2024,0,36110,38463,34691,673,16168,0,490,187789,6572,138113,13803,0,0,16045,0,0,13804,7804,8103,21613,34227,4210,2453,"Streptococcus parasanguinis"
"[Clostridium] spiroforme",5963,0,24451,0,0,60621,0,0,0,0,3641,127297,15035,0,3354,0,0,0,394573,0,0,5222,2093,16148,0,0,0,32440,0,0,10715,0,0,0,2182,0,8083,26964,0,0,10435,4127,0,0,0,39735,0,146776,158582,0,46243,39356,0,51661,44504,0,179967,0,0,11660,0,35992,51735,0,0,0,45129,0,0,7189,4795,0,46468,1931,0,0,0,55948,0,0,42489,4992,0,461091,0,12830,0,4043,0,0,0,0,0,2935,8570,0,0,0,23266,0,0,240767,0,0,0,0,290345,0,31794,57587,0,0,0,0,0,52909,0,0,0,0,0,0,0,0,42414,0,0,22230,0,21984,64006,17310,0,0,0,1284,0,36229,0,0,931,0,810,0,0,"[Clostridium] spiroforme"
"Ruminococcaceae bacterium D16",5725,0,0,0,0,0,0,0,0,12328,0,0,0,14156,4087,732,0,0,0,0,1158,0,0,214,0,0,0,0,0,76,592,25592,0,0,6581,0,2961,0,0,0,83175,0,0,0,0,0,0,0,0,26881,84727,0,0,0,0,8385,96,0,0,0,0,0,0,0,0,0,0,0,0,0,9388,0,0,0,0,0,64966,0,0,0,0,0,0,0,14082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10089,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1579,0,0,5056,0,0,4473,0,0,0,0,839,0,0,0,0,174,0,0,0,0,12713,0,0,0,0,0,431,0,"Ruminococcaceae bacterium D16"
"Roseburia sp. CAG:471",3941,18966,13604,9219,2237,4172,0,255,0,0,594,437735,1469,3002,0,5923,12798,204289,25444,3150,5216,0,0,2426,0,1939,1991,0,5120,845,96770,0,1750,0,0,0,584,0,69255,2377,1859,0,1461,3795,2052,158168,1569,7752,641,0,2915,1190,0,0,3277,0,0,553682,13190,0,0,0,0,708,104,1356,25739,92550,1933,387,152,0,1611,4052,115140,5924,0,105465,0,5205,6679,4070,12241,1645,1091,4673,0,4720,1049,0,513,74654,0,1270,53828,7957,2889,0,67036,6630,4165,3714,1509,0,849,1849,0,4998,84,32772,0,11581,847,2857,0,0,0,1268,0,3759,44758,1004,69777,341627,3004,446,1211,1315,24476,1586,1830,29134,171888,383,0,89545,0,0,0,0,226,97499,0,303,2760,"Roseburia sp. CAG:471"
"Proteobacteria bacterium CAG:139",3647,170070,13740,0,0,0,0,174111,0,0,0,0,0,0,0,70041,99970,1903,1182,0,0,0,0,0,0,2014,0,0,0,206412,2811,0,0,0,0,10841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,4867,0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,0,0,0,21600,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,27061,0,0,0,0,132,0,18840,105,229,0,0,0,0,7101,3662,0,0,0,0,18536,0,0,10325,0,0,0,0,2145,0,0,0,0,0,0,4414,0,"Proteobacteria bacterium CAG:139"
"Actinobaculum sp. oral taxon 183",3194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3493,5274,0,0,591,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,2204,0,0,0,0,215,0,0,0,0,561,0,0,233,0,0,0,0,0,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobaculum sp. oral taxon 183"
"Streptococcus mitis",3011,0,2273,0,0,0,0,0,0,0,0,0,0,0,1180,989,0,0,0,0,0,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56451,4402,0,0,0,0,0,0,0,0,0,488,1503,0,0,0,0,0,0,420,0,0,0,0,0,0,0,562,0,0,0,0,0,0,3098,0,0,0,32655,137,0,0,0,0,1636,0,16854,0,0,0,4939,0,0,0,6886,0,2254,1673,0,26648,0,0,1001,0,0,0,0,4475,0,0,0,0,0,0,0,0,0,954,2868,0,0,0,9343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,"Streptococcus mitis"
"Eggerthella lenta",3009,0,0,0,0,0,0,1384,16510,11124,2129,0,49749,726,20577,0,0,0,171569,0,14293,17903,0,0,0,0,2694,0,0,13632,11544,3460,0,15475,69974,0,2063,78608,0,0,26591,6907,0,6584,0,0,32662,4489746,0,46913,240269,12589,0,59366,41656,915,15182,0,159859,155684,0,25050,10975,635632,0,0,345,0,33970,0,0,0,91862,16815,4937,621,14177,9880,245796,0,279558,3246,0,175101,59589,12560,0,0,5094,0,0,33285,0,8857,1500,0,3545,0,0,27472,44085,43092,1852,8173,0,68373,70749,5184,0,0,74042,0,0,0,69641,423003,0,9056,230222,0,27323,15058,16007,0,377,0,0,0,0,224438,899,127900,5065,0,0,0,0,145497,0,38214,554,3732,0,0,0,"Eggerthella lenta"
"Alistipes shahii",2751,129780,17287,252655,19383,274646,27676,34308,238136,0,10560,10492,15648,0,27010,51790,451338,305599,48656,117126,235032,0,164568,11076,61955,9366,35705,0,0,3063,0,7116,4900,0,78352,25297,7748,10566,14245,39569,114923,0,1513,0,0,12761,13186,0,0,20517,61223,0,357,73,25034,51655,0,25906,0,0,14388,0,0,31316,31328,2183,50025,27152,25202,0,40642,0,0,49056,6550,65526,0,20765,54523,43415,0,3538,39275,9471,319131,0,4051,150183,57110,0,883,0,18272,133981,28458,80,0,26903,1024,104597,592402,14195,92877,4813,7285,186,25459,12078,67216,4162,0,0,80885,33755,0,0,25493,135581,0,0,46969,1250,107066,162776,0,79689,0,194567,52093,0,0,0,0,22085,16807,17361,48033,0,34075,0,19294,23921,17292,79211,2359,"Alistipes shahii"
"Adlercreutzia caecimuris",2599,1156,1165,0,339,5329,0,958,1940,30776,4367,6501,5524,4046,8334,4658,2109,2682,18917,2835,2591,1407,0,268,0,7120,5250,1300,0,753,112,217,0,1713,7669,1259,1387,8317,0,0,3984,2230,0,1616,710,857,32884,42013,826,2629,6797,1375,0,0,10393,1141,990,236,6256,139,668,0,4058,5577,0,1305,2035,64,2957,0,0,807,308,1218,1128,5985,11351,15801,15444,1106,3346,2561,1829,3239,11652,4803,3324,690,3756,0,0,1262,0,8524,9898,754,2060,486,0,5413,5413,5720,876,0,1404,14268,11493,8271,1445,4010,1317,0,1508,7325,0,6071,291,8525,2516,2504,4258,6004,12206,2411,1733,1986,2448,1688,248,3763,1506,890,401,0,666,0,0,7082,0,755,0,3641,236,1188,0,"Adlercreutzia caecimuris"
"Lactococcus lactis",2117,0,40325,0,182586,0,0,98108,304691,2686,0,0,0,855,0,0,0,0,114713,7059,4847,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,26169,0,0,0,1236,0,238524,0,0,5579,7115,0,0,0,0,0,0,12719,0,2116,0,9646,1114,0,0,0,0,1703,0,0,0,0,0,0,528,0,0,2166,2218,3559,0,10293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235012,0,0,0,2068,4811,0,0,0,0,0,0,1181,0,90569,0,1443935,0,0,0,51528,0,17532,0,0,230405,0,0,0,0,563649,1920,0,0,0,0,0,0,0,0,0,11111,0,0,0,0,0,0,0,0,"Lactococcus lactis"
"Lawsonibacter asaccharolyticus",1875,9712,22979,4195,9345,23569,19205,17529,173,32850,11939,7049,12829,18069,15719,86992,11038,34328,100769,53406,15611,32896,5193,97205,20349,66499,3825,11184,2437,16364,354,0,826,16766,0,2943,13839,701,13692,11850,44468,72479,186,7585,9044,9032,4410,309042,10414,28200,35491,863,745,88869,0,23662,2677,0,6735,33186,483,0,2612,7235,13624,1648,7986,11383,0,1867,21633,15259,29528,33082,17423,70743,297592,52011,78615,101545,93955,11007,11905,0,47498,45761,8149,25692,44884,0,1937,15849,6836,7351,74970,1032,107066,16387,23075,37940,16825,35331,10108,38528,4518,5393,100953,6473,15092,1529,115,4627,7059,6573,0,118681,5096,8549,12055,5457,28728,1422,26648,0,22549,4294,61445,16300,22211,26851,27720,0,23105,4953,11343,1872,0,11829,216,45906,8076,2596,16790,60034,0,"Lawsonibacter asaccharolyticus"
"Roseburia inulinivorans",1836,119596,53924,95839,592918,59575,3047,358828,223417,48513,181265,511559,214642,225908,65447,81842,293363,310325,228731,277065,454689,423429,52328,54816,201687,100898,7113,0,64649,231809,187795,36950,14966,117041,0,107665,145235,102599,94575,25868,239588,28940,89829,27741,6432,142893,39973,196223,379767,6193,89064,25483,222862,161004,0,745,1264,887752,0,436696,2702,871704,27095,143799,429159,58285,595453,23468,164840,188215,350317,29607,14564,637629,70554,232950,29132,420647,6560,12857,0,230706,1023681,11614,95250,844625,546308,55333,115936,70897,70664,571822,139098,1455172,195796,126480,644684,139566,41921,956,15431,576211,203851,395987,1315282,170576,21554,212799,645347,9086,105580,78794,281252,22340,26462,360671,5630,171951,0,191295,84697,42703,84494,12878,180025,124600,2265595,46168,120385,151647,2341896,0,174974,22290,94076,0,7245,326206,7236,0,122025,1067426,64647,94990,1230170,"Roseburia inulinivorans"
"Streptococcus vestibularis",1776,0,21128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5684,0,0,0,0,0,0,0,0,0,0,0,1766,17565,8142,1893,1867,0,0,0,0,8710,0,0,17810,0,0,0,8194756,5689,0,0,0,0,0,0,0,72704,1368,0,10953,0,0,0,0,660,0,0,1027,41537,93078,0,0,0,0,1160,0,827879,0,0,7493,0,0,16689,0,0,0,12198,23386,0,1537,10335,0,8779,13335,0,0,0,0,0,13242,0,7681,24182,0,686338,0,0,41377,2274,0,17116,0,0,1748,0,656296,0,0,0,0,1152,0,0,0,0,3268,0,0,0,0,15833,0,557090,0,0,0,0,0,0,0,0,0,0,0,0,5985,"Streptococcus vestibularis"
"Monoglobus pectinilyticus",1714,54845,99509,0,0,0,0,6772,0,0,0,0,34462,65257,94355,212957,0,94157,204795,6635,0,24747,0,10754,0,20402,0,0,0,10843,31565,0,0,148,0,6355,29088,0,0,0,0,35625,0,161484,38177,0,0,0,327732,719230,0,0,10862,57679,0,72680,2029649,0,0,0,122378,0,56086,0,0,0,0,18741,122005,19398,132656,89357,27479,247883,0,0,48208,0,0,0,0,0,63748,0,0,0,0,129070,144247,0,0,0,0,5046,0,22609,0,0,4542,449231,0,0,0,0,0,238497,0,113514,0,0,206498,91753,0,0,0,67615,0,62489,0,0,71736,18921,0,712,0,0,276406,5241,61985,0,0,3768,54664,0,0,38534,0,110739,0,17267,0,957833,70309,0,0,"Monoglobus pectinilyticus"
"Denitrobacterium detoxificans",1196,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,2770,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,13151,0,0,0,232,0,0,0,0,296,0,0,0,0,0,418,205,0,0,0,0,0,0,0,0,0,0,918,2495,2164,0,0,0,0,1130,0,888,0,0,1233,0,1151,0,0,421,0,0,0,0,273,0,0,2805,400,984,0,0,220,656,0,0,0,612,1700,0,0,0,0,1546,0,0,252,449,0,0,0,0,1023,0,0,285,0,575,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,"Denitrobacterium detoxificans"
"Streptococcus australis",1087,0,0,0,0,0,0,1119,0,0,0,9633,687,0,2210,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9550,0,0,0,0,0,0,0,2374,0,4970,1543,0,0,0,0,0,0,0,0,0,2170,0,0,0,0,0,0,0,1489,0,0,8518,0,0,0,0,3860,0,0,0,0,0,0,4533,0,0,0,25526,0,0,0,0,0,0,0,0,0,0,1048,2563,0,0,0,0,4492,0,472,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,12140,0,0,12794,307,0,0,56672,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus australis"
"Gemella sanguinis",886,0,3718,0,0,0,0,6358,0,0,4452,2389,0,0,0,3316,0,3920,0,565,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20438,39826,2995,0,3207,0,0,2359,0,0,0,0,4394,0,2699,0,0,0,0,0,0,647,0,0,0,0,0,790,11118,0,0,1034,3774,0,0,4177,0,0,0,14799,0,0,0,0,0,850,0,0,0,0,0,2616,0,0,0,0,0,0,0,0,0,2842,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2838,0,0,0,6078,0,0,0,0,606,0,0,0,0,0,0,0,0,0,8921,"Gemella sanguinis"
"Collinsella intestinalis",743,334,833,4342,1471,64995,0,818,848,7626,1065,9742,8363,1108,7779,2769,9135,652,0,1825,12750,0,295,0,3295,546,1578,872,7512,1677,2283,9280,0,0,755,1188,1945,0,2918,0,3353,3210,4680,0,14616,570,27719,969,2897,894,41456,1141,902,550,20641,2824,2598,1785,0,371379,2621,1715,108653,2971,0,2392,2834,1356,1127,1084,445,0,0,1550,896,2771,9385,7308,0,5863,0,8562,0,3381,3613,12014,16667,1196,7266,11165,0,0,1472,323,6196,8062,2537,7528,2115,15401,3064,9485,3680,876,563,5666,148105,18115,696,5282,17391,2205,4233,14621,1840,250,10005,6454,316920,9182,5699,2585,4632,7237,11854,264,3480,16272,2209,75610,5798,0,2071,0,224,0,0,0,710,1157,0,364,488,4341,724,"Collinsella intestinalis"
"[Clostridium] innocuum",687,0,0,0,0,2915,0,0,13785,19116,0,7590,4527,0,0,0,0,0,20744,0,62376,798,0,0,0,0,18315,0,0,0,28636,54829,0,4804,0,0,0,0,0,0,0,8811,0,0,0,0,25189,120032,0,0,29254,3422,0,26067,145359,2674,0,0,59121,9566,22429,4501,0,14518,0,0,1197,687,5413,0,0,0,0,0,14656,63860,1816,25597,233424,0,59537,764,0,73790,0,0,25489,0,0,0,0,0,0,0,0,0,0,0,0,0,533541,24584,0,3454,0,0,155389,5992,0,0,1806,0,0,0,0,4153,0,4415,10095,7162,0,33755,0,0,4426,0,0,0,0,9524,3051,11176,0,0,293,0,0,7770,0,0,0,0,0,0,4006,"[Clostridium] innocuum"
"Enorma massiliensis",606,0,783,3516,535,5515,0,0,424,5887,821,6365,1496,389,2838,6252,5698,2321,0,1680,12323,0,0,0,969,686,1839,0,7369,362,0,2748,0,0,394,653,2947,0,1074,0,1770,1057,0,303,2139,704,11381,249,0,66891,2847,809,496,650,3750,1000,1331,0,0,194,791,306,0,172,0,3175,2486,172,3376,824,189,0,0,665,1325,5242,6071,3204,0,8609,0,8562,0,1742,2926,4625,23243,708,4882,10947,637,200622,941,0,6497,1952,3038,1177,0,13475,53715,6481,2302,0,2738,3650,4979,3797,0,5730,12112,464,2999,5265,1118,0,4997,3835,0,3440,2896,1107,3429,3413,2480,695,1522,13071,2110,624,1616,0,1143,3398,650,0,0,0,1514,0,0,0,2262,13155,1417,"Enorma massiliensis"
"Christensenella hongkongensis",513,0,0,0,0,0,0,0,0,0,0,0,0,1337,6581,0,0,0,0,0,12616,0,0,0,0,2386,6047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4071,0,0,0,0,0,0,9708,5662,0,650,17024,3271,0,0,8317,0,0,0,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,0,0,0,18236,630,0,6381,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,0,0,0,0,0,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2866,0,0,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Christensenella hongkongensis"
"Ruminococcus bromii",0,3527296,712303,6061275,2348700,0,1571736,1229102,2493760,0,1543370,4411633,174284,2944167,1775042,105993,0,1716497,0,5491899,0,1380249,1408669,0,1578963,1841089,81606,0,296430,2334160,2144737,378753,890851,2806230,4944449,1804702,677497,2187124,733867,1060789,0,1563191,81646,0,4023753,1817862,9187426,7184,0,0,0,4443157,23109,2593351,0,5029234,7352413,1891647,142711,0,1531413,19090,2417629,0,3684521,2484776,2812229,0,2177956,1317717,3156472,577640,1334226,0,3158662,0,7988987,2320632,7808587,0,0,4456219,0,0,49801,4277965,4681351,370941,5428923,6996,18857,0,529395,2867205,0,3464862,0,0,1730348,1743435,3067173,1607502,4856860,1788563,3053575,4922473,0,0,1621312,5280521,4070652,3278533,0,3277900,12295,1390493,2752061,0,8220226,2887724,1870185,3153092,630316,1263422,3169929,6681937,1586664,4516633,4078675,4216734,0,0,0,0,1004164,532384,770014,0,183147,0,898861,1464812,2147635,2547758,0,"Ruminococcus bromii"
"Akkermansia muciniphila",0,3345725,87422,1681658,162205,12359,6003,16332,162160,300079,16218,5719,1150725,414883,3054602,1218064,43941,32725,1438948,149291,91784,2511268,423,1050788,0,8890,596593,877638,248116,1395271,0,540440,24833,264446,2286160,679586,0,2428829,357556,351902,1979514,251550,30379,262475,0,18066,0,0,29817,491608,762084,128242,15736,3404,2589820,0,2078652,61200,12649,0,2655365,19510,116950,0,2198,156596,0,8285,411225,649,102668,28368,233023,547714,17131,2612,1898040,55508,905743,4787391,37834,0,0,0,843421,0,516620,1098437,668290,0,24238,0,256115,726833,386356,0,0,0,92225,111369,4447160,700689,1696868,228961,547153,23033,11259,157436,2415057,0,66400,6528,650241,4998,30502,971469,723084,939701,10302130,421257,1440045,737358,36754,46801,176072,0,340192,0,1978224,0,504469,5245655,41444,234205,302063,208958,83883,3792947,9183,0,45479,1345711,28639,0,689445,"Akkermansia muciniphila"
"Phocaeicola plebeius",0,2921206,0,996136,0,0,697507,0,0,0,0,0,0,0,0,1158183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76989,0,0,9404,0,0,0,0,9640,2327,0,9460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,1820,0,0,0,0,0,0,0,0,0,0,1852731,341750,0,0,0,0,0,227145,0,0,0,29842,0,0,577386,1705470,0,0,0,0,0,0,0,0,0,1890257,660323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,"Phocaeicola plebeius"
"Bacteroides caccae",0,2231334,62093,88846,169125,194669,13525,462688,294678,0,43941,0,276806,823356,62359,108365,735193,106040,0,109041,364429,0,190212,53176,104937,0,14802,0,24048,372727,0,0,27605,0,87840,50741,33755,0,153745,1120,44396,0,12315,0,482681,526486,0,936624,0,188813,0,15600,40904,167601,322533,109318,623037,35778,7425,786605,0,1063017,0,0,93492,0,210244,159484,0,0,76389,184193,0,368844,130817,315307,0,193176,94004,358618,493103,174994,0,0,53864,0,330273,57354,112959,0,0,0,59366,514238,48325,3488,0,960533,3846,277099,1362852,161664,314423,112166,91283,0,504810,0,0,56299,171216,135768,373774,142924,368669,0,0,71489,0,353426,109430,1758318,152145,456013,14500,9664,248769,244257,0,0,300262,0,29480,44638,36911,164476,86078,0,85501,0,54651,0,131117,38022,29852,"Bacteroides caccae"
"Coprococcus eutactus",0,1633414,510066,0,913052,0,18495,0,1717238,0,0,6102797,0,0,0,1297705,642,0,338950,2458431,303436,0,0,0,905977,570642,25246,0,119281,0,0,0,1227841,0,0,65872,745775,0,12895,33973,0,0,402906,0,0,320026,0,0,0,273416,0,530054,141239,0,0,1597801,3615929,1258785,0,0,1632,0,10531750,0,77702,0,488007,0,0,571495,0,841901,0,0,0,5353757,0,40137,0,283,0,14656,2209260,0,994341,0,319991,0,0,0,1691,0,55683,0,0,1856809,0,0,10766,261,0,0,2102169,0,203,0,0,0,0,4401069,0,0,1109879,54393,6416,0,2009545,4838060,0,0,2571867,0,0,18321,0,1284762,4251,3053027,1845,0,0,0,0,0,63001,0,0,0,216986,0,0,359732,1526832,0,0,"Coprococcus eutactus"
"Bacteroides fragilis",0,405425,37973,0,10988,0,0,176633,21769,0,0,60371,76370,0,101757,0,0,0,0,0,3567,0,0,0,0,0,0,57068,0,45770,0,2317397,4383,0,0,0,0,61787,0,0,0,819826,7182,7727,34878,10939,7669628,232574,242654,0,45719,0,0,204865,1083400,1042,0,0,0,0,254920,0,206127,93846,0,0,8760,0,0,4988,0,0,196841,0,0,0,6294,91330,0,0,0,0,0,0,88826,73028,137,0,16604,0,35390,6284,386,187534,0,0,285706,0,53021,53397,0,0,0,16152,1425,0,0,21598,0,0,0,203694,0,403,185971,789547,205331,100905,129879,69347,6928,11538,0,15474,0,0,0,0,0,0,243127,0,0,0,0,0,0,0,29101,135387,0,60965,0,0,0,"Bacteroides fragilis"
"Escherichia coli",0,274280,0,705,0,41410,0,9271,230066,35369,1762936,54967,71079,21693,16232,0,0,12853633,0,80422,2937963,655691,1697905,1349,0,0,5635755,200093,6498,0,31433,939248,6167,276046,0,5963,8845,10702,34994,36600,143030,0,3930,460903,15525,9422,101346,49073,692,26171,31880,4049,6093,0,58588,0,9608,0,0,121512,10812773,45580,289009,22289,5758,0,1526453,3455,556087,20986,0,0,0,0,0,55595,0,0,0,0,5775,0,0,64743,54077,0,0,19984,17945,19585,11184,0,36171,309743,2741,0,0,168918,15871,133619,260985,8623,673,51536,0,44228,1386077,79788,0,0,512801,25574,40685,0,481890,73535,0,40060,80895,80782,2499381,88661,0,48842,0,37181,0,0,55836,16377,0,201863,3897,1292137,0,0,3387,80214,309899,4998,0,761,32272,0,6481064,"Escherichia coli"
"Roseburia hominis",0,266024,26251,156037,88220,133212,142,53345,8040,0,8741,138401,172754,343004,104026,199350,232485,47435,565112,87594,111324,5012,345031,49888,177225,361809,120179,0,344267,50652,3243,25779,90914,613717,0,11190,89984,163157,112062,38319,714404,6250,1649,1013082,0,111466,6956,280983,559542,113368,47703,59675,99233,15684,43526,72464,84419,143828,0,5108,14226,3700,13609,33079,55726,95573,119680,22087,30645,2217,91517,403263,898636,44611,182580,2049328,0,12842,0,354353,300094,99079,31565,12977,1652889,87622,45008,30705,1515,39243,0,26327,49120,812839,10905,174397,1630543,209976,10151,184806,122861,83565,70627,14382,56536,273099,206491,76295,724,463782,1483,0,835934,64920,0,78635,55086,14239,484978,111686,162030,165734,925843,158248,47810,580066,774958,433134,58896,19171,11221,0,42199,20431,27093,94263,413515,442679,3968,31916,2594,108171,0,17188,26688,"Roseburia hominis"
"Phocaeicola coprocola",0,219169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398033,0,0,0,0,0,0,0,0,0,0,29361,0,69849,0,0,0,0,0,0,7214,6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98243,0,0,0,0,0,0,0,0,2009289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18443,0,58668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15578,0,0,0,0,0,0,0,125200,0,0,0,0,0,0,0,0,"Phocaeicola coprocola"
"Firmicutes bacterium CAG:110",0,171914,15879,3979,93128,37400,26760,0,0,9317,7780,58955,66725,0,111417,493927,86093,237591,0,109320,30319,0,1890,83364,119428,0,36865,0,90752,6676,0,0,493,0,0,3137,4806,0,38030,12584,0,0,63146,10905,0,1915,797732,0,4264,0,0,666157,17329,0,0,0,26395,261958,0,0,252476,0,0,0,13970,3291,527433,0,200865,17168,0,170363,0,5577,0,43305,0,0,0,115960,0,0,62291,0,0,0,47891,841641,103953,16813,86552,0,92673,4196,26757,339164,0,136,88923,261400,767868,355,159617,0,38322,13407,62812,0,2462,0,0,32173,9641,0,0,0,73246,135916,0,377,3327,39407,0,416572,0,0,597736,8470,186152,0,0,0,0,9639,0,43041,0,0,28088,0,0,0,25558,83222,0,"Firmicutes bacterium CAG:110"
"Parasutterella excrementihominis",0,161740,207186,0,9427,0,0,171736,0,0,0,0,2045,0,0,23166,971944,30584,16946,0,0,5894,967,3089,3827,37393,0,0,0,21295,73323,4948,0,0,0,8821,0,0,0,13808,0,15478,0,3196,0,12086,0,0,17698,0,0,0,1030,1309,0,0,0,0,0,0,0,0,60742,0,0,0,938,10684,0,0,0,0,0,0,1197,0,0,0,0,2516,0,607,15362,50387,0,0,0,447598,0,0,0,0,0,0,2402,0,7412,0,0,0,15082,0,2222,0,0,0,623,0,93184,0,0,17548,0,9705,0,78088,3513,7331,0,0,0,15248,106268,61410,0,0,32992,1305,321859,0,0,237,0,0,0,1316,67510,0,0,0,0,5145,3422,38836,0,"Parasutterella excrementihominis"
"Eubacterium ventriosum",0,161078,148360,194857,14760,59245,0,140754,132491,0,211014,0,110847,44013,36833,52658,13456,81882,44990,124229,31493,86239,57220,75674,136,0,0,0,35751,58959,0,0,37908,0,0,18400,112882,0,20601,856,0,0,0,12401,23209,229253,5935,836733,131039,0,71625,20524,24063,0,131324,84916,74980,169050,0,0,0,176156,0,0,4183,147523,268324,52960,0,42705,63831,2493,31469,104927,111168,349167,303156,278637,404371,102842,0,3630,23947,0,66509,310980,49416,51989,131415,6114,35142,235449,0,7341,14515,116137,117144,200462,92495,9082,0,105893,139991,11222,168179,182473,0,578236,0,4292,51296,0,20869,13384,0,45264,51710,164518,0,329389,4714,59542,297696,622,0,12348,252018,178437,316564,0,0,0,0,40789,105251,35574,52918,0,801,0,109936,0,42992,0,146797,"Eubacterium ventriosum"
