"","SZAXPI003409-8","SZAXPI003410-3","SZAXPI003411-6","SZAXPI003412-1","SZAXPI003413-4","SZAXPI003414-3","SZAXPI003415-12","SZAXPI003416-4","SZAXPI003417-4","SZAXPI003418-8","SZAXPI003419-6","SZAXPI003420-4","SZAXPI003421-5","SZAXPI003422-11","SZAXPI003423-8","SZAXPI003424-12","SZAXPI003425-1","SZAXPI003426-11","SZAXPI003427-1","SZAXPI003428-6","SZAXPI003429-3","SZAXPI003430-5","SZAXPI003431-1","SZAXPI003432-12","SZAXPI003433-7","SZAXPI003434-7","SZAXPI003435-11","SZAXPI003436-7","SZAXPI003437-3","SZAXPI015209-133","SZAXPI015210-17","SZAXPI015211-166","SZAXPI015212-113","SZAXPI015213-15","SZAXPI015214-19","SZAXPI015215-20","SZAXPI015216-169","SZAXPI015217-140","SZAXPI015218-16","SZAXPI015219-129","SZAXPI015220-136","SZAXPI015221-142","SZAXPI015222-123","SZAXPI015223-158","SZAXPI015224-13","SZAXPI015225-18","SZAXPI015226-14","SZAXPI015227-13","SZAXPI015228-14","SZAXPI015229-15","SZAXPI015230-16","SZAXPI015231-17","SZAXPI015232-18","SZAXPI015233-19","SZAXPI015234-20","SZAXPI015235-21","SZAXPI015237-23","SZAXPI015238-24","SZAXPI015239-25","SZAXPI015240-26","SZAXPI015241-27","SZAXPI015242-30","SZAXPI015243-31","SZAXPI015244-32","SZAXPI015245-33","SZAXPI015246-34","SZAXPI015247-35","SZAXPI015248-36","SZAXPI015249-37","SZAXPI015250-39","SZAXPI015251-41","SZAXPI015252-43","SZAXPI015253-44","SZAXPI015254-45","SZAXPI015255-46","SZAXPI015256-47","SZAXPI015257-56","SZAXPI015258-57","SZAXPI015259-62","SZAXPI015260-74","SZAXPI015261-75","SZAXPI015262-79","SZAXPI015263-84","SZAXPI015264-87","SZAXPI015265-88","SZAXPI015266-89","SZAXPI015267-102","SZAXPI015268-109","SZAXPI015269-94","SZAXPI015270-90","SZAXPI015271-93","SZAXPI015272-108","SZAXPI015273-95","SZAXPI015274-111","SZAXPI017451-16","SZAXPI017452-17","SZAXPI017453-19","SZAXPI017454-20","SZAXPI017455-21","SZAXPI017456-23","SZAXPI017457-24","SZAXPI017458-25","SZAXPI017459-26","SZAXPI017460-27","SZAXPI017461-32","SZAXPI017462-33","SZAXPI017463-36","SZAXPI017464-37","SZAXPI017465-43","SZAXPI017466-84","SZAXPI017467-87","SZAXPI017468-88","SZAXPI017580-90","SZAXPI017581-93","SZAXPI017582-94","SZAXPI017583-102","SZAXPI017584-108","SZAXPI017585-109","SZAXPI017586-111","SZAXPI017587-113","SZAXPI017588-123","SZAXPI017589-133","SZAXPI017590-136","SZAXPI017591-140","SZAXPI017592-142","SZAXPI017593-158","SZAXPI017594-166","SZAXPI017595-169","FeatureID"
"Parabacteroides goldsteinii",34281,0,18537,29520,0,0,0,0,27822,201721,0,39042,32206,0,0,0,0,0,0,0,0,0,103638,0,14864,0,29941,36999,1885,0,7291,9246,0,0,0,0,636327,10346,26846,0,15109,0,4957,71624,2119,1464123,35233,0,0,0,0,0,0,0,0,0,0,16178,0,197249,27508,5516,0,3287,0,0,0,0,63595,22632,2192,0,2162,239135,11346,0,4894,38168,0,0,406150,0,7479,398117,0,0,4951,89330,151081,73975,0,98363,0,0,0,0,692354,40607,0,11223,0,33054,0,0,5503,6570,8410,0,0,24644,10020,0,46153,162897,0,0,0,76525,13750,0,16057,0,0,10321,0,0,37355,12434,"Parabacteroides goldsteinii"
"Firmicutes bacterium CAG:238",33922,0,0,0,185824,0,0,0,0,0,0,11973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704,0,9628,0,0,972,0,0,0,0,960,0,6303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,0,0,0,0,6755,0,0,0,0,0,0,0,0,131,0,0,1388,0,0,189639,0,0,0,0,3373,0,0,0,0,0,0,0,532,0,0,0,10081,0,0,34295,0,0,0,0,0,7112,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4031,559,0,"Firmicutes bacterium CAG:238"
"Bacteroides intestinalis",33916,0,5904,0,515079,0,8357,0,3288,891742,0,15684,520165,0,6096,0,0,0,0,0,0,0,326968,0,1117736,0,0,93455,0,517158,14818,4101,0,19817,0,136,0,75263,636328,0,0,53690,69543,22187,9753,134191,674845,335540,0,0,980172,3414,0,0,115604,819993,0,19772,4422,118826,221691,11165,673190,242545,141697,0,0,0,0,0,3249,5761,0,6638597,10413,8531,65484,0,0,20239,1023544,28323,1003947,656451,0,0,11419,2093180,163207,70020,37565,2033,619,0,0,0,988039,205161,0,0,0,0,0,162272,736,60691,360090,1166492,0,150973,232104,2009,0,173922,0,0,186496,678554,0,0,426779,0,0,0,0,58409,52352,0,"Bacteroides intestinalis"
"Streptococcus sanguinis",32871,0,4676,1305,1888,0,0,19788,0,1973,0,7945,0,32277,0,4016,0,0,0,0,0,0,0,0,0,4276,5413,0,20783,0,4992,0,21957,0,7454,0,0,1551,0,0,0,0,0,2259,11023,0,0,1962,0,5693,0,0,0,0,0,4231,6126,0,5430,0,1281,0,0,2373,0,3346,4418,0,0,11750,0,1001,1411,5101,0,0,11190,32343,35699,26414,0,0,0,0,0,0,0,0,0,0,0,0,18966,43085,0,1244,0,29584,15158,0,0,1516,1295,0,0,0,0,0,0,0,0,0,0,90686,1875,0,0,0,4952,23765,40442,0,3034,0,5648,0,1258,42818,"Streptococcus sanguinis"
"Lawsonibacter asaccharolyticus",27890,20825,0,0,0,0,0,0,1016,0,0,1138,8633,4273,3086,269,787,0,0,0,0,0,0,0,0,41279,34964,116068,0,0,0,135830,754,9279,1332,26569,137689,3508,54919,0,3897,0,289,2534,0,3677,14608,5252,134,0,31942,26451,0,0,15748,0,0,0,0,45784,56134,0,83090,12603,2539,0,7531,0,708,26227,13523,0,6240,31839,0,985,0,0,0,0,12651,12507,0,13354,23809,0,26541,23384,2146,4417,36830,21723,6504,18826,0,0,20541,6851,0,0,34885,0,0,81317,0,12489,16563,3427,0,87995,0,0,7543,0,0,3698,16974,0,6288,0,0,8317,0,0,675,2436,5867,0,"Lawsonibacter asaccharolyticus"
"Ruminococcus bicirculans",25581,0,0,0,127748,47158,0,0,2284,0,42714,0,3839783,0,0,12318,139397,10905,0,0,0,0,3277,43940,36532,0,3037420,617173,0,8105,4720,0,343180,0,0,55932,12868,3827,110108,0,9160,2510088,705534,1520,69287,104517,3724106,1109652,1204,173,1291227,0,0,0,2452054,2463635,0,0,0,0,4237906,708565,23440,216554,3424,0,10015511,195926,440750,4024994,2138685,0,36828,345363,11578,155,0,19447,902520,458750,0,648724,330953,78378,0,895048,209253,44804,921060,176286,376294,99468,0,0,1933,1176560,0,1132,2480,3909886,0,0,0,11524,0,0,788,1492732,0,608350,0,36703,0,0,0,0,0,56563,0,0,8678,0,0,0,586534,0,481307,0,"Ruminococcus bicirculans"
"Bacteroides ovatus",23516,3805323,44420,6072,654722,0,126700,1358,798047,45760,6107394,98042,784921,306728,439667,77838,0,718218,102957,29355,682398,0,1110113,6612,1610758,4947636,140339,689106,22105,2207515,59328,486687,13103,1087973,52013,14695,27846,0,38954,270249,7405,1501407,302546,486011,86691,14174,1024052,47328,2487960,431,19549,1324092,0,203057,20375,3432742,1627737,139926,106113,469325,933195,140086,176141,121864,17716,420672,1323129,14959,671550,176413,218599,36130,213003,13998,351097,1621427,64599,617930,175875,737537,894717,224941,485451,44491,3130409,1196051,15834,410444,543383,84391,23757,278355,228111,1713778,351,208102,67103,8860,19397,116241,1584496,1133337,0,29939,4556195,347681,59610,0,274988,130782,6444,0,865105,125552,916922,0,50146,450000,217605,329492,797065,0,0,18667,2489,35151,209927,0,"Bacteroides ovatus"
"Streptococcus salivarius",21347,40899,183973,81585,29820,16860,201961,6146,5327,1665567,298120,16815,76307,484111,21032,0,46541,4293,41069,2895,1043738,22625,105,78145,149710,295989,19120,90102,3109949,119156,1179950,65211,1419722,60069,216554,46533,176243,76906,35905,192472,488612,53136,49520,676961,359910,0,118378,125469,1471832,49978,96340,100421,418409,198213,209177,319484,2403,25065,122582,71354,41558,251186,160183,374874,5591,37159,46953,279615,219046,31388,114454,523311,593188,99869,59254,21059,90575,3530525,270427,2240880,98345,8677,12575,1833,6505,184703,66598,79870,30118,13561,202532,13265,3779015,12310,46994,142747,51055,1765371,1876665,2213108,37041,642953,783492,182042,478811,17684,11296,5648,13977,146145,24254,737,24825,538590,0,4447,12988,71511,451517,268525,97234,21292,5036,92830,360431,11152,322257,47081,"Streptococcus salivarius"
"Methanobrevibacter smithii",19993,0,12685805,1461,0,625,0,0,0,0,0,2462603,25886,0,0,10562,0,14890,0,0,0,0,0,0,0,0,0,12369,0,0,0,0,0,0,0,0,0,1850021,0,0,118240,0,0,727955,0,0,0,0,0,0,397782,0,0,0,0,314720,0,0,0,5749,0,54468,0,0,2708,25430,0,0,0,0,448603,178688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260193,0,0,0,0,0,0,0,0,0,25334,0,0,2418490,1371,0,0,22658,0,3059301,0,0,0,0,1130,0,0,0,3211,0,0,0,0,4237,0,37501,0,0,0,0,0,"Methanobrevibacter smithii"
"Citrobacter amalonaticus",18049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Citrobacter amalonaticus"
"Ruminococcaceae bacterium D5",16639,0,0,0,757354,0,0,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6953,185016,0,12715,0,0,0,0,3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,0,0,0,726,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,47631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58638,0,0,93464,0,0,7484,0,0,79368,2108,0,0,0,0,0,2829,0,0,0,0,0,0,0,0,0,0,0,"Ruminococcaceae bacterium D5"
"Gordonibacter pamelaeae",15613,119621,12502,144679,104990,81983,168278,28331,4825,6289,12551,701,727,79776,31185,685239,133716,35663,16652,0,4283,0,9940,1912,51784,133957,140586,21193,95687,0,1411,104339,49746,17350,19830,0,43859,0,7949,7058,0,67029,5629,9492,0,18901,4333,17593,5719,0,51375,5750,10255,34763,584096,2321,21003,39289,8697,15959,24547,7628,18791,70105,278,208713,30714,6313,83156,89009,20803,292,67817,14786,20210,2187,65484,603,6186,30606,0,35977,0,4897,26710,1349,28710,554,0,9505,31164,875,1535,5509,2124,174936,109464,25305,18976,96822,68787,20756,15207,64900,0,12083,52283,7371,195778,9463,662,0,38167,4760,6626,0,0,2631,7549,8148,30769,4131,8309,29731,18230,0,6473,41716,"Gordonibacter pamelaeae"
"Holdemania filiformis",15449,0,0,0,0,0,0,0,576,0,0,7607,0,193172,0,16990,0,47835,0,0,0,0,8849,0,0,268449,132776,0,173728,0,0,252731,6105,21245,0,14068,41130,165,30085,0,0,0,10001,5819,0,184848,5508,27648,1873,0,57133,1488,0,0,232865,7989,0,13611,0,0,1676,8568,3912,0,2733,0,14863,10124,141,34705,37236,13489,51771,70308,0,45804,15313,0,0,0,2047,18655,3196,29725,46903,0,40730,880,38632,11182,0,0,5770,0,0,0,0,0,0,235114,8620,10336,0,43884,0,4146,89648,0,0,4901,0,0,39359,94720,0,7807,128923,77251,8878,0,118716,20764,27527,26711,0,3237,18342,64854,"Holdemania filiformis"
"Klebsiella quasipneumoniae",14768,233898,0,4539,15845,6976,2692,0,12956,1154050,0,99014,22582,410374,0,0,32321,255630,0,13669,5943,0,45464,0,1953,36103,22434,0,0,0,0,0,0,165688,78833,4144,0,0,4809,0,0,0,0,0,35205,126123,0,87185,1359,2490467,0,8295,28446,153972,36366,29117,0,0,0,33250,17707,0,16695,5707,13666,37810,269695,2830,17869,5892,48641,12272,19433,0,307058,0,0,22885,0,95106,0,0,0,0,0,0,28390,13948,0,0,0,0,0,0,106222,1583,0,316306,0,69687,2343,0,0,0,0,3105,0,0,0,0,0,0,0,0,0,0,15338,1122369,0,1866,19188,0,0,0,0,2866,0,236245,"Klebsiella quasipneumoniae"
"Granulicatella adiacens",14495,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,0,0,0,1245,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,0,0,0,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,"Granulicatella adiacens"
"Eubacterium sp. CAG:180",11949,10703,5411847,29258,742547,21252,22301383,3556,0,2911973,0,9831830,1254094,6142,9821,3712,0,1652331,0,0,0,0,4492109,3873113,0,0,619359,830103,0,0,35859,15557,925,28916,6267,6053,8630352,10416442,42388,0,10464,30053477,1691,15249227,212415,1124935,7672246,47659,4923,38603,29477,61628,0,0,0,658510,2646,166,0,3365,43054,983611,3136,30518020,0,4117284,0,12046309,4870386,163835,6929,3922710,29468205,0,1269781,0,2493,0,0,1700,895753,10647,8121808,32299,4983166,0,1769894,3431021,5014716,2442597,8763463,0,23073,1944,46720,11589128,0,0,0,61843,0,0,0,560617,72163,1891216,6459,1279284,4225306,5338,530865,12555,4871454,9569,0,1669714,0,242894,0,1010,18632,489429,475650,11738,3153,9144611,9095989,7962,"Eubacterium sp. CAG:180"
"Enterococcus avium",10139,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28970,977,0,0,4264,0,0,0,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Enterococcus avium"
"Gemella sanguinis",10133,5291,12915,1154,0,693,4434,1634,0,23550,0,92875,1201,139296,719,107674,0,2934,6732,1575,36480,6886,1958,0,5816,0,21406,6754,8478,5119,15068,1401,19221,0,31908,1043,0,1933,91763,9277,717,0,1561,7677,25511,684,2778,8403,11409,1319,9887,1530,1244,4988,35348,10156,4658,0,479,1822,2150,1800,0,20595,1063,6782,0,4803,0,12878,0,2865,17856,0,9412,0,8452,4844,6897,9895,0,0,1349,0,0,5561,1159,25463,0,6562,2463,0,41839,34726,2513,9620,3481,113597,0,4140,0,2825,631,0,2252,0,0,0,0,0,2592,0,0,9712,829,0,0,0,16134,4410,0,726,13258,5152,19746,0,5444,16690,"Gemella sanguinis"
"Sanguibacteroides justesenii",9702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sanguibacteroides justesenii"
"Cloacibacillus porcorum",8292,0,0,0,33126,0,0,0,1861,0,0,9089,0,2741,0,0,0,1267,9092,0,0,0,0,335,0,0,104309,163944,0,0,0,0,0,0,0,143,662582,116802,236991,28580,0,0,14965,7709,2997,0,10334,0,0,0,0,0,0,0,0,0,0,0,0,2651,2155,0,0,1394,0,3227,0,0,0,48213,423,337,0,11279,526,2540,5014,332,0,0,8105,0,2007,33484,0,0,0,0,0,0,0,0,0,0,0,0,275833,0,0,0,232589,0,0,0,6151,0,2467,0,0,40698,0,0,10082,61988,0,0,99644,0,0,0,0,0,11154,0,0,9901,0,113790,"Cloacibacillus porcorum"
"Erysipelothrix larvae",8098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38278,0,0,0,0,0,4023179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7616,0,0,0,0,0,0,0,0,0,2563,0,0,0,0,0,0,0,2953,0,0,0,0,0,5447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9146,0,0,0,0,0,28817,0,0,"Erysipelothrix larvae"
"Bacteroides cellulosilyticus",6124,243798,0,164553,95518,0,0,0,423680,0,0,15492,343532,0,172,14397,0,494549,0,0,0,0,50703,0,360506,833131,184636,20471,0,0,8701,281085,0,0,0,136435,23710,2167,369093,0,843,0,2594,0,2283,155054,107218,117528,6557,0,30183,27904,0,0,52581,1325792,1279275,184170,1238,122591,119493,128351,332429,70820,17979,770686,0,0,225457,118094,1381746,2102,24361,0,968396,0,71036,46822,0,0,144316,131314,110108,346645,516867,0,1948,77864,29747,67710,73708,369476,12444,537990,0,0,88286,396177,0,0,0,217641,0,79795,21180,291,135188,0,0,610,57382,0,2527341,30377,1117845,204553,1219,0,0,78349,33437,7912,0,64608,51503,139673,26220,15632,"Bacteroides cellulosilyticus"
"Ruminococcus bromii",5808,0,3239,15754800,722566,1234422,8061744,0,0,751523,545,301210,5653,0,0,14488997,1750344,261477,34110,0,103,0,394352,1798427,4188352,85,8658753,3344456,1902,0,47862,16324,709,2723,1276180,2038,9495164,0,0,1212,59921,4723980,1861532,7571736,1579532,3595830,302621,7982915,0,39515,130,0,1469,0,12005369,992,404,9395386,555,405,7828373,29192,289673,0,491353,2823078,2301411,6182414,5130251,12263684,1237,4773356,2470,4767630,4720476,2612955,0,2226325,0,224,401008,10745972,1139153,134,4871066,1575217,839871,1932289,2220016,1639,0,382533,655,3037659,0,0,7414632,10129,14292,11676748,40254,4552041,0,1395637,373973,420390,507884,214516,5416305,0,394294,9051,21647,9738824,0,0,92239,319190,2159788,6722513,2034397,331,1211769,0,18693658,1489849,3273468,1248,"Ruminococcus bromii"
"Anaerofustis stercorihominis",5036,0,0,22338,0,0,0,0,0,0,0,0,0,0,0,15117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anaerofustis stercorihominis"
"Clostridium sp. CAG:299",4921,0,0,0,0,69864,0,0,0,0,0,0,0,1290291,0,0,87345,13315,26252,0,0,0,43812,1794,0,0,22137,2064,0,178132,0,0,0,0,0,0,51776,0,0,3275170,0,88964,0,0,0,2507,0,0,618860,0,0,0,0,14271,0,0,0,0,0,0,0,0,0,1670,0,0,0,0,0,14733,53853,0,0,0,0,182218,0,0,0,0,0,0,0,0,50107,0,261010,31500,0,0,0,0,0,0,0,0,0,15962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. CAG:299"
"Phocaeicola plebeius",4726,0,29727,145,0,3934,64849,0,6019,1893,1776059,4042201,2612303,875920,0,0,0,0,2437879,0,7124,0,0,0,2949562,0,0,0,918873,574,8974,343,553157,0,0,1598038,429086,0,274141,1404,95419,0,5762688,187741,5292,0,2855832,0,14473,0,2573854,0,0,2761,0,0,0,6339324,0,0,0,3248605,0,147680,3076691,0,5676318,1482,0,0,0,988,0,0,0,0,0,850980,3655515,436474,7875127,0,0,0,7222826,12009660,614359,0,385059,7720755,1230240,3495,512585,4078,1059,1016442,0,0,0,0,2379454,1153,0,0,129903,0,1138654,0,96,711772,1595,0,3849727,59169,0,920110,1634791,0,3522829,8892,0,0,7247,13521,0,479823,0,0,"Phocaeicola plebeius"
"Firmicutes bacterium CAG:145",4714,0,0,0,8873,0,0,0,0,0,0,0,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610832,0,0,0,0,0,0,100624,0,891116,143,174460,0,0,0,0,0,3331,56049,47273,13920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11295,3070,0,0,0,0,1118,0,15602,0,0,0,0,0,0,0,0,15029,0,350,0,0,9989,3561,0,0,0,0,0,3369,0,0,0,129735,0,0,0,0,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,31764,0,0,0,0,6427,0,0,"Firmicutes bacterium CAG:145"
"[Clostridium] symbiosum",4483,19810,1132,34784,180231,137545,0,158071,1145,17138,0,0,1141,248063,43829,168129,139216,6909,204215,0,0,542,0,0,0,90635,22000,17017,9604,10618,1217,42002,0,5048,95847,0,69135,22563,0,0,0,609257,124533,0,0,0,12023,0,0,863,4937,0,0,0,0,0,886247,0,0,9907,11715,0,1251,0,0,27412,28177,0,0,9754,0,0,0,60292,0,5074,69738,0,8454,284095,0,3018,0,0,8027,0,6601,0,0,0,0,0,2378,0,0,13229,0,487985,428215,25689,13288,1532,1498,736102,0,0,36262,9097,14562,59172,0,0,17176,3074,583646,31190,3264,377042,62383,31582,1200,5232,3345,0,0,0,347,1357002,"[Clostridium] symbiosum"
"Roseburia intestinalis",4471,116,0,0,30594,3256,0,186984,1153273,2643,0,13462,0,174825,0,0,5851,0,213317,0,2008,0,1087842,0,0,0,0,171080,0,22658,116091,560,206425,30212,14865,1247,0,9707,87377,0,126418,203818,190998,0,30124,229308,0,18557,24587,0,251936,5813,0,2782,0,1141062,0,0,0,198943,311941,685665,8053,115771,234858,2401498,29082,4020,11046,0,0,608198,998122,0,500030,173526,0,457956,529371,41947,159999,0,136869,156814,0,1365279,24074,39694,33296,2759,130687,418397,0,3078224,1920,798095,2307,0,0,960625,15718,1998360,0,0,0,98438,5525,513177,7027,0,4531,7388,0,1979,0,0,0,48322,2894,8230699,0,2399,17318,558239,200205,86,1911,109996,"Roseburia intestinalis"
"Collinsella intestinalis",4410,6966,41576,4400,5284,0,4834,0,4096,406,2002,2236,403,19132,40130,1300,0,0,8393,0,6588,2266,123905,2000,331035,0,8671,1933,6673,3011,17904,9095,0,11691,3901,4723,49745,19666,82274,0,1408,1027,1091,7033,6627,2477,0,4281,17086,672,1890,445,0,1449,7519,0,2585,1009,0,71911,1149,0,0,1453,437,0,0,648,529,8223,0,6103,2144,0,1261,0,328384,278,2323,12687,245,0,2625,630,0,41602,491,777,2807,278,4261,20883,4939,0,0,3354,1446,21003,8333,1223,0,1833,5150,0,305,0,4641,0,0,5273,1332,1264,12304,5731,0,427,5463,0,0,29793,1744,9146,3789,2097,219963,8386,4433,195575,"Collinsella intestinalis"
"Harryflintia acetispora",4313,0,33182,2598,799,0,0,0,0,3209,0,8567,0,0,0,0,0,282,0,0,0,0,0,0,0,0,7402,4517,0,0,0,0,0,9342,0,511,20993,2766,41744,0,0,0,2334,20967,0,20149,274,6943,0,0,0,0,0,0,0,0,0,0,0,2826,1028,0,2673,5648,0,0,0,0,0,1582,1180,0,23148,267,0,0,0,0,0,0,433,409,0,7564,0,0,0,2995,0,0,3838,0,0,0,0,0,2228,0,0,0,0,0,0,0,0,0,0,0,0,10530,0,0,0,75906,0,0,5219,0,0,0,0,0,0,0,11478,0,0,0,"Harryflintia acetispora"
"Enterocloster citroniae",3827,9614,0,104341,10851,14172,89470,0,11070,2391,14546,0,3917,18553,59351,188094,52760,10710,3393,0,0,0,940,0,47585,78483,12357,84266,4443,90319,752,39810,0,17082,127683,42266,2343,14133,1319,3808,0,58680,82283,1070,0,14930,8226,0,7951,0,8217,0,0,14365,5508,142,161377,0,0,19185,14423,5384,18642,0,0,10270,15623,0,2730,6158,10815,0,4958,28176,3609,42719,2526,12354,8365,0,1268,9594,1894,0,19756,0,6446,12472,22088,10302,18190,3319,21235,0,0,1485,0,105625,1881,3648,1995,4006,17387,15183,1461,0,33004,26271,17875,0,0,0,10985,0,84865,41641,2368,34034,36149,8089,52707,3697,15454,3694,97,62936,11000,58222,"Enterocloster citroniae"
"Firmicutes bacterium CAG:170",3760,0,0,0,56935,0,0,0,0,0,0,143501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8902,0,0,6833,0,338552,0,0,0,0,0,0,517427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3124,174257,0,0,0,0,145069,0,54830,0,0,0,0,0,0,0,0,0,0,0,40153,18315,0,0,0,0,208837,0,0,0,0,0,0,0,490633,0,0,0,0,0,0,0,0,942660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28994,0,209089,6061,0,"Firmicutes bacterium CAG:170"
"Morganella morganii",3639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467151,"Morganella morganii"
"Actinomyces sp. ICM47",3633,0,10322,84,496,0,0,0,0,141,693,0,0,69367,0,6136,0,0,0,0,337,7683,0,794,0,0,0,4171,9328,0,4261,409,1450,0,3568,0,202,0,0,13362,0,0,0,269,4607,0,0,0,7663,4855,0,0,809,20787,0,0,0,0,0,1108,0,0,0,0,0,0,0,542,0,0,0,1567,0,0,0,0,2021,0,0,0,0,0,0,0,0,1058,0,0,0,0,0,0,0,0,128,0,0,0,1522,720,0,518,0,0,1877,0,0,0,0,303,0,0,0,591,0,0,0,0,0,0,708,0,3509,0,4177,0,0,32854,"Actinomyces sp. ICM47"
"Enterocloster asparagiformis",3554,0,0,64923,0,0,0,0,8584,7702,0,0,0,0,113545,27377,0,954,3978,0,0,0,6102,0,72189,69001,0,14165,0,0,0,57917,0,5129,71372,9699,21856,667,0,0,0,0,42099,12720,0,24132,0,192,0,0,2129,0,119300,0,0,0,0,0,0,30121,1649,0,6551,0,2351,0,11155,0,1416,0,1312,0,0,0,0,19522,6942,1514,962,0,929,15122,0,1739,38724,0,46293,392,128779,20977,0,0,2409,0,0,1667,36323,59886,0,0,30025,8241,0,38258,0,0,0,5855,11155,0,2681,0,14491,4986,0,9601,34515,0,0,0,0,2063,0,0,0,23973,5562,51521,"Enterocloster asparagiformis"
